zipcode,year,population
90001,2013,54760.0
90001,2014,56314.0
90001,2015,57227.0
90001,2016,57942.0
90001,2017,58738.0
90001,2018,58975.0
90001,2019,59832.0
90001,2020,58974.0
90001,2021,58245.0
90001,2022,57652.0
90001,2023,56403.0
90001,2024,56189.0
90002,2013,49475.0
90002,2014,50098.0
90002,2015,50626.0
90002,2016,51826.0
90002,2017,52856.0
90002,2018,53111.0
90002,2019,53302.0
90002,2020,53402.0
90002,2021,54384.0
90002,2022,53108.0
90002,2023,52735.0
90002,2024,52122.0
90003,2013,66200.0
90003,2014,66913.0
90003,2015,69502.0
90003,2016,70208.0
90003,2017,70490.0
90003,2018,72741.0
90003,2019,73730.0
90003,2020,74117.0
90003,2021,75190.0
90003,2022,75024.0
90003,2023,71708.0
90003,2024,70065.0
90004,2013,62760.0
90004,2014,63547.0
90004,2015,64008.0
90004,2016,63095.0
90004,2017,62733.0
90004,2018,61586.0
90004,2019,60541.0
90004,2020,61105.0
90004,2021,59621.0
90004,2022,58833.0
90004,2023,58844.0
90004,2024,58484.0
90005,2013,39548.0
90005,2014,38638.0
90005,2015,38979.0
90005,2016,39338.0
90005,2017,39562.0
90005,2018,39479.0
90005,2019,39732.0
90005,2020,38885.0
90005,2021,36910.0
90005,2022,37754.0
90005,2023,38747.0
90005,2024,39142.0
90006,2013,59498.0
90006,2014,61419.0
90006,2015,61625.0
90006,2016,61230.0
90006,2017,62329.0
90006,2018,61698.0
90006,2019,59576.0
90006,2020,58560.0
90006,2021,57136.0
90006,2022,56628.0
90006,2023,55192.0
90006,2024,55527.0
90007,2013,43173.0
90007,2014,43779.0
90007,2015,43426.0
90007,2016,41979.0
90007,2017,41221.0
90007,2018,41716.0
90007,2019,42433.0
90007,2020,42380.0
90007,2021,41270.0
90007,2022,41004.0
90007,2023,39253.0
90007,2024,38715.0
90008,2013,33280.0
90008,2014,33012.0
90008,2015,31837.0
90008,2016,32060.0
90008,2017,32359.0
90008,2018,31739.0
90008,2019,31754.0
90008,2020,31900.0
90008,2021,31046.0
90008,2022,33076.0
90008,2023,33443.0
90008,2024,33252.0
90010,2013,4133.0
90010,2014,3792.0
90010,2015,3740.0
90010,2016,3524.0
90010,2017,3759.0
90010,2018,3702.0
90010,2019,3822.0
90010,2020,4108.0
90010,2021,4313.0
90010,2022,4185.0
90010,2023,4478.0
90010,2024,4850.0
90011,2013,100882.0
90011,2014,102926.0
90011,2015,104058.0
90011,2016,104762.0
90011,2017,108051.0
90011,2018,109414.0
90011,2019,111165.0
90011,2020,110750.0
90011,2021,109511.0
90011,2022,106042.0
90011,2023,102784.0
90011,2024,100113.0
90012,2013,29528.0
90012,2014,30029.0
90012,2015,30860.0
90012,2016,32543.0
90012,2017,33783.0
90012,2018,35913.0
90012,2019,36552.0
90012,2020,37268.0
90012,2021,39709.0
90012,2022,38430.0
90012,2023,37463.0
90012,2024,37336.0
90013,2013,10256.0
90013,2014,10575.0
90013,2015,11299.0
90013,2016,11668.0
90013,2017,11957.0
90013,2018,11937.0
90013,2019,12559.0
90013,2020,13009.0
90013,2021,13413.0
90013,2022,14587.0
90013,2023,14891.0
90013,2024,14357.0
90014,2013,6008.0
90014,2014,6659.0
90014,2015,7006.0
90014,2016,7191.0
90014,2017,7408.0
90014,2018,8335.0
90014,2019,8688.0
90014,2020,9126.0
90014,2021,8547.0
90014,2022,9273.0
90014,2023,9540.0
90014,2024,10224.0
90015,2013,18358.0
90015,2014,18226.0
90015,2015,18767.0
90015,2016,19378.0
90015,2017,20187.0
90015,2018,21801.0
90015,2019,22651.0
90015,2020,23900.0
90015,2021,24228.0
90015,2022,25554.0
90015,2023,25257.0
90015,2024,24704.0
90016,2013,47273.0
90016,2014,47786.0
90016,2015,47590.0
90016,2016,47079.0
90016,2017,46303.0
90016,2018,46581.0
90016,2019,45899.0
90016,2020,46340.0
90016,2021,45884.0
90016,2022,47309.0
90016,2023,46102.0
90016,2024,46457.0
90017,2013,23755.0
90017,2014,23719.0
90017,2015,24336.0
90017,2016,25772.0
90017,2017,26390.0
90017,2018,26728.0
90017,2019,27723.0
90017,2020,27832.0
90017,2021,28433.0
90017,2022,28754.0
90017,2023,28981.0
90017,2024,30172.0
90018,2013,48498.0
90018,2014,48852.0
90018,2015,49824.0
90018,2016,51639.0
90018,2017,52287.0
90018,2018,53256.0
90018,2019,53490.0
90018,2020,52444.0
90018,2021,51388.0
90018,2022,49898.0
90018,2023,48812.0
90018,2024,48745.0
90019,2013,65408.0
90019,2014,67606.0
90019,2015,67553.0
90019,2016,68530.0
90019,2017,67415.0
90019,2018,66245.0
90019,2019,64534.0
90019,2020,62816.0
90019,2021,61061.0
90019,2022,59410.0
90019,2023,59288.0
90019,2024,59548.0
90020,2013,39866.0
90020,2014,39102.0
90020,2015,39866.0
90020,2016,40170.0
90020,2017,39191.0
90020,2018,39102.0
90020,2019,39189.0
90020,2020,39366.0
90020,2021,38124.0
90020,2022,38400.0
90020,2023,38361.0
90020,2024,38994.0
90021,2013,2940.0
90021,2014,2913.0
90021,2015,2970.0
90021,2016,2954.0
90021,2017,3158.0
90021,2018,2922.0
90021,2019,2945.0
90021,2020,3285.0
90021,2021,2724.0
90021,2022,2781.0
90021,2023,3152.0
90021,2024,2897.0
90022,2013,70147.0
90022,2014,69516.0
90022,2015,68136.0
90022,2016,67191.0
90022,2017,67446.0
90022,2018,65890.0
90022,2019,67014.0
90022,2020,66168.0
90022,2021,65110.0
90022,2022,64147.0
90022,2023,61638.0
90022,2024,60343.0
90023,2013,45126.0
90023,2014,45886.0
90023,2015,46288.0
90023,2016,46611.0
90023,2017,47229.0
90023,2018,46780.0
90023,2019,46680.0
90023,2020,46517.0
90023,2021,45732.0
90023,2022,44558.0
90023,2023,44608.0
90023,2024,43857.0
90024,2013,50964.0
90024,2014,50117.0
90024,2015,50693.0
90024,2016,49737.0
90024,2017,49718.0
90024,2018,50288.0
90024,2019,51627.0
90024,2020,52069.0
90024,2021,50611.0
90024,2022,50392.0
90024,2023,50830.0
90024,2024,51675.0
90025,2013,43555.0
90025,2014,45284.0
90025,2015,46107.0
90025,2016,46520.0
90025,2017,47453.0
90025,2018,47967.0
90025,2019,46883.0
90025,2020,47438.0
90025,2021,44608.0
90025,2022,44429.0
90025,2023,45238.0
90025,2024,46508.0
90026,2013,68726.0
90026,2014,67986.0
90026,2015,68520.0
90026,2016,67557.0
90026,2017,68609.0
90026,2018,69589.0
90026,2019,68906.0
90026,2020,67657.0
90026,2021,65921.0
90026,2022,64769.0
90026,2023,62902.0
90026,2024,62692.0
90027,2013,45942.0
90027,2014,46025.0
90027,2015,46646.0
90027,2016,46043.0
90027,2017,45616.0
90027,2018,44686.0
90027,2019,44770.0
90027,2020,45996.0
90027,2021,44678.0
90027,2022,45764.0
90027,2023,46049.0
90027,2024,46558.0
90028,2013,28151.0
90028,2014,29994.0
90028,2015,30380.0
90028,2016,31122.0
90028,2017,31054.0
90028,2018,30734.0
90028,2019,29774.0
90028,2020,31385.0
90028,2021,29887.0
90028,2022,30982.0
90028,2023,31441.0
90028,2024,32883.0
90029,2013,40208.0
90029,2014,40161.0
90029,2015,40472.0
90029,2016,40242.0
90029,2017,38843.0
90029,2018,37898.0
90029,2019,36668.0
90029,2020,36126.0
90029,2021,35037.0
90029,2022,34649.0
90029,2023,33830.0
90029,2024,33303.0
90031,2013,40052.0
90031,2014,39333.0
90031,2015,39422.0
