substance,period_start,drug_reports
Bromazolam,2018-07-01,1
Bromazolam,2019-01-01,3
Bromazolam,2021-01-01,1
Bromazolam,2021-07-01,11
Bromazolam,2022-01-01,10
Bromazolam,2022-07-01,29
Bromazolam,2023-01-01,94
Bromazolam,2023-07-01,45
Bromazolam,2024-01-01,152
Bromazolam,2024-07-01,84
Bromazolam,2025-01-01,64
Bromazolam,2025-07-01,51
Carfentanil,2017-01-01,4
Carfentanil,2017-07-01,3
Carfentanil,2018-01-01,3
Carfentanil,2018-07-01,5
Carfentanil,2019-01-01,1
Carfentanil,2019-07-01,3
Carfentanil,2020-01-01,2
Carfentanil,2023-07-01,6
Carfentanil,2024-01-01,11
Carfentanil,2024-07-01,55
Carfentanil,2025-01-01,105
Carfentanil,2025-07-01,136
Mitragynine,2012-07-01,5
Mitragynine,2013-01-01,1
Mitragynine,2014-01-01,1
Mitragynine,2014-07-01,1
Mitragynine,2015-01-01,33
Mitragynine,2015-07-01,2
Mitragynine,2016-01-01,1
Mitragynine,2016-07-01,4
Mitragynine,2017-01-01,10
Mitragynine,2017-07-01,2
Mitragynine,2018-01-01,20
Mitragynine,2018-07-01,2
Mitragynine,2019-01-01,6
Mitragynine,2019-07-01,4
Mitragynine,2020-01-01,8
Mitragynine,2020-07-01,2
Mitragynine,2021-01-01,1
Mitragynine,2021-07-01,4
Mitragynine,2022-07-01,1
Mitragynine,2023-01-01,1
Mitragynine,2024-01-01,19
Mitragynine,2024-07-01,1
Mitragynine,2025-01-01,2
Mitragynine,2025-07-01,19
Xylazine,2015-07-01,1
Xylazine,2016-01-01,2
Xylazine,2017-01-01,6
Xylazine,2017-07-01,8
Xylazine,2018-01-01,9
Xylazine,2018-07-01,8
Xylazine,2019-01-01,12
Xylazine,2019-07-01,28
Xylazine,2020-01-01,24
Xylazine,2020-07-01,61
Xylazine,2021-01-01,85
Xylazine,2021-07-01,69
Xylazine,2022-01-01,74
Xylazine,2022-07-01,59
Xylazine,2023-01-01,81
Xylazine,2023-07-01,63
Xylazine,2024-01-01,166
Xylazine,2024-07-01,175
Xylazine,2025-01-01,142
Xylazine,2025-07-01,105
para-Fluorofentanyl,2020-07-01,40
para-Fluorofentanyl,2021-01-01,367
para-Fluorofentanyl,2021-07-01,458
para-Fluorofentanyl,2022-01-01,483
para-Fluorofentanyl,2022-07-01,306
para-Fluorofentanyl,2023-01-01,237
para-Fluorofentanyl,2023-07-01,216
para-Fluorofentanyl,2024-01-01,387
para-Fluorofentanyl,2024-07-01,257
para-Fluorofentanyl,2025-01-01,159
para-Fluorofentanyl,2025-07-01,114
