Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
"(2,6-Dimethylphenoxy)acetic acid",,,,Other substances,07-2019,Structure Image cannot be exported
(2-Bromoethyl)benzene,,,,Other substances,01-2021,Structure Image cannot be exported
"(6aR,9S)-Delta-10-Tetrahydrocannabinol",,,,Cannabinoids,12-2020,Structure Image cannot be exported
(9R)-delta 6a(10a)-Tetrahydrocannabinol,(9R)-delta 6a(10a)-THC,"(R)-3,10,10-trimethyl-7-pentyl-2,3,4,10-tetrahydro-1H-9-oxaphenanthren-5-ol",C21H30O2,Cannabinoids,10-2022,Structure Image cannot be exported
(9S)-Delta-6a(10a)-Tetrahydrocannabinol,,,,Cannabinoids,12-2020,Structure Image cannot be exported
"(S)-N-Methyl-1-(1-(1,4Cycloheadienyl))-2-Propanamine",,,,Other substances,02-2004,Structure Image cannot be exported
"1,1,1-Trichloroethane (Methyl Chloroform)",,,,Other substances,11-2002,Structure Image cannot be exported
"1,2,3,4-Tetrahydroharmine",,,,Hallucinogens,10-1998,Structure Image cannot be exported
"1,2,3,4-Tetrahydronaphthalene",,,,Other substances,10-1998,Structure Image cannot be exported
"1,2-Benzenedicarboxamide",,,,Other substances,10-1998,Structure Image cannot be exported
"1,2-Cyclopentanedione",,,,Other,05-2013,Structure Image cannot be exported
"1,2-Dibromo-4,5-methylenedioxybenzene",,"5,6-dibromo-2H-1,3-benzodioxole",C7H4Br2O2,Other substances,06-2019,Structure Image cannot be exported
"1,2-Difluoroethane",,,,Other substances,05-2017,Structure Image cannot be exported
"1,2-Dihydroxybenzene",,,,Other substances,11-2017,Structure Image cannot be exported
"1,2-Dimethyl-3-Phenylaziridine",,,,Other substances,09-2003,Structure Image cannot be exported
"1,2-Ethanediol",,,,Other substances,06-2018,Structure Image cannot be exported
"1,2-Octanediol",,,,Other substances,09-2021,Structure Image cannot be exported
"1,3,5-Triazine-2,4,6-Triol (Cyanuric Acid)",,,,Other substances,08-2008,Structure Image cannot be exported
"1,3,5-trimethoxybenzene",,,,Other substances,06-2014,Structure Image cannot be exported
"1,3-Dicyclohexylcarbodiimide",,,,Other substances,10-1998,Structure Image cannot be exported
"1,3-Dimethylbarbituric Acid",,,,Depressants and Tranquilizers,11-2011,Structure Image cannot be exported
"1,4,6-Androstatriene-3,17-Dione",,,,Steroids,07-2010,Structure Image cannot be exported
"1,4-Androstadien-11Beta-Ol-3,17-Dione",,,,Other substances,05-2011,Structure Image cannot be exported
"1,4-Benzodiazepine",,"1H-1,4-benzodiazepine",C9H8N2,Benzodiazepines,01-2021,Structure Image cannot be exported
"1,4-Benzoquinone",,,,Other substances,06-2010,Structure Image cannot be exported
"1,4-Butanediol",,,,Other substances,10-1998,Structure Image cannot be exported
"1,4-Dibenzylpiperazine ",DBZP,"1,4-dibenzylpiperazine",C18H22N2,Piperazines (Stimulant),07-2008,Structure Image cannot be exported
