substance,as_of,nb_trend_z,nb_trend_slope,nb_trend_dispersion,nb_trend_own_z,nb_trend_own_slope,n_recent,n_baseline,emergent,ears_z,nb_trend_alarm,ears_alarm
Methamphetamine,2025-10-01,4.0245692485149185,0.05173247396125558,1.0,-4.08594222714253,-0.07624102628667041,1851,4361,False,1.1655795584001052,True,False
PCP,2025-10-01,3.5507639998126814,0.1872584562413384,1.0,1.077895370248787,0.056166836547196015,137,232,False,2.5101653906591332,True,False
Alprazolam,2025-10-01,2.223976742940362,0.17951166969823826,2.0453202613656987,0.5630923579700722,0.04860360226839035,111,211,False,1.1190265568201874,True,False
Ethanol,2025-10-01,1.9835643767767923,0.05638018524515274,1.0,-2.5510807211204463,-0.07169697578948447,385,885,False,1.1331410145078826,True,False
MDMB-4en-PINACA,2025-10-01,1.878714354827816,1.3467901096130777,1.0,1.6771317535166335,1.1811872191055335,2,2,False,0.711936272772345,False,False
Oxycodone,2025-10-01,1.8750974520231716,0.21888593843930731,1.456122594035915,0.7565413305069107,0.08703824689076646,37,73,False,0.4916092810425185,False,False
Chlordiazepoxide,2025-10-01,1.783500709305659,0.5938784909952922,1.0511600628542135,1.3527830417244406,0.45224195711250864,6,5,False,1.309820977600029,False,False
Amphetamine,2025-10-01,1.7808935687583227,0.2933954070624869,2.684207492385956,1.0037414418493333,0.15972397963465496,33,70,False,0.24576559473210485,False,False
Codeine,2025-10-01,1.7511196568162624,0.26721090013828763,1.1682130358592577,0.8763014311481151,0.134187195540564,16,36,False,0.14426573829673614,False,False
Lidocaine,2025-10-01,1.67659377334257,0.5428169711169918,1.203921066490884,1.2458319012124546,0.40260319246970194,5,8,False,0.38956376068881776,False,False
Cocaine,2025-10-01,1.643704349543328,0.06219360677151249,2.486122349075256,-1.6885864236736035,-0.06601354243022863,565,1216,False,1.5533646107623105,False,False
Trazodone,2025-10-01,1.5456412887151347,0.2699287085389646,1.0,0.7933793924375094,0.13683811772075366,11,23,False,0.29798831883574406,False,False
Nitrous oxide,2025-10-01,1.4952085324434765,0.970141864650695,1.4156449797798367,1.3060618113882603,0.817170654954119,4,1,False,2.3309654501302535,False,False
Naloxone,2025-10-01,1.4199810286642318,4.028960259833423,1.0,1.3452802726036146,3.7923632687352176,2,0,False,1.2751973989781702,False,False
Ketamine,2025-10-01,1.4145345157959477,0.17768047090553377,1.0,0.3771887590857098,0.046815697678755534,20,45,False,0.272457950920234,False,False
"1,1-Difluoroethane",2025-10-01,1.3598215176941926,0.35458783529873017,1.0298136522008519,0.8251851977152868,0.2193738247249252,8,8,False,1.5556446931789005,False,False
Carfentanil,2025-10-01,1.3399392995493355,0.5671685522036675,3.9119333286154387,1.0131721063175383,0.4262797846399589,12,13,False,0.6442630910708945,False,False
Olanzapine,2025-10-01,1.3362700907901766,0.3737651529150417,1.178619828141695,0.845490038089094,0.23805936571979194,5,11,False,0.134887662290749,False,False
Mitragynine,2025-10-01,1.3077247398748606,0.20804881717622528,1.3538963626966005,0.45750061915527007,0.07646140362865443,18,37,False,0.40326762416054723,False,False
Acetaminophen,2025-10-01,1.1500435289384026,0.5938784904754885,1.149116833510892,0.8732019641911399,0.4522419569695992,2,3,False,0.3117060563294069,False,False
Nicotine,2025-10-01,1.104427465649825,0.7094780748376212,1.0,0.8919716808002034,0.5645163967312271,2,1,False,1.0144166239021821,False,False
Amitriptyline,2025-10-01,1.040750317198446,2.5951984599210087,1.0,0.9715656136323617,2.387642803810538,1,0,False,0.6375986994890851,False,False
Ziprasidone,2025-10-01,1.040750317198446,2.5951984599210087,1.0,0.9715656136323617,2.387642803810538,1,0,False,0.6375986994890851,False,False
Lacosamide,2025-10-01,1.040750317198446,2.5951984599210087,1.0,0.9715656136323617,2.387642803810538,1,0,False,0.6375986994890851,False,False
Desloratadine,2025-10-01,1.040750317198446,2.5951984599210087,1.0,0.9715656136323617,2.387642803810538,1,0,False,0.6375986994890851,False,False
Aripiprazole,2025-10-01,1.040750317198446,2.5951984599210087,1.0,0.9715656136323617,2.387642803810538,1,0,False,0.6375986994890851,False,False
Zolpidem,2025-10-01,0.9906277485530851,0.4634940114435491,1.0,0.7050359348542555,0.32543420220849323,2,3,False,0.4228864406418916,False,False
Atenolol,2025-10-01,0.9761011908995186,1.5069010856115246,1.0,0.8809076613303346,1.3356767349006151,1,0,False,0.6375986994890851,False,False
Prochlorperazine,2025-10-01,0.9761011908995186,1.5069010856115246,1.0,0.8809076613303346,1.3356767349006151,1,0,False,0.6375986994890851,False,False
Promethazine,2025-10-01,0.9761011908995186,1.5069010856115246,1.0,0.8809076613303346,1.3356767349006151,1,0,False,0.6375986994890851,False,False
Fluoxetine,2025-10-01,0.9566026579555609,0.26208065323333296,1.3046439734354172,0.4850064455565525,0.1291829889255966,5,13,False,-0.08578959049227547,False,False
Carisoprodol,2025-10-01,0.9046913123411757,0.970141861254186,1.5467390059504473,0.757407082568968,0.8171706537518338,2,0,False,1.2751973989781702,False,False
Salicylate,2025-10-01,0.7991326689140859,0.48471983927898954,1.0,0.578430061157955,0.346090367429518,1,2,False,0.109120966534782,False,False
Butalbital,2025-10-01,0.7955984723486721,0.9701418551758357,1.0,0.6811407241441204,0.8171706513438883,1,0,False,0.6375986994890851,False,False
Citalopram,2025-10-01,0.7927492053018383,0.23788408970937788,1.9198517672102047,0.3561481259834873,0.10557706672932302,5,17,False,-0.2713315087132718,False,False
