substance,first_seen,first_seen_censored,first_breach,last_breach,lag_quarters,quarters_in_alarm,n_episodes,longest_episode_q,peak_eb05,peak_ebgm,peak_as_of,n_at_peak,still_open
Fentanyl,2012-01-01,True,2016-07-01,2021-04-01,,20,1,7,3.611320136269944,4.361588083174075,2017-01-01,77,False
Citalopram,2012-01-01,True,2017-10-01,2024-10-01,,2,2,1,1.5718272842579544,2.541980633522258,2017-10-01,9,False
Etizolam,2013-01-01,False,2020-01-01,2020-10-01,28.0,4,1,2,4.4853315746581295,6.432844636852698,2020-04-01,21,False
Clonazepam,2014-01-01,False,2020-01-01,2020-07-01,24.0,3,1,1,2.5170761036259854,3.6413217822152593,2020-04-01,20,False
Flualprazolam,2019-07-01,False,2020-04-01,2021-01-01,3.0,4,1,2,4.832868972690314,7.6088533254364155,2020-04-01,13,False
PCP,2012-01-01,True,2020-07-01,2021-04-01,,4,1,2,1.8982358866818256,2.352960180461192,2020-07-01,60,False
para-Fluorofentanyl,2021-01-01,False,2021-04-01,2023-01-01,1.0,8,1,3,6.995431255843253,8.668801574204252,2022-01-01,60,False
Buprenorphine,2014-10-01,False,2022-01-01,2022-01-01,29.0,1,1,1,1.5388202216077338,3.071390872560737,2022-01-01,5,False
Levamisole,2021-10-01,False,2022-01-01,2022-01-01,1.0,1,1,1,1.5388202216077338,3.071390872560737,2022-01-01,5,False
Acetyl fentanyl,2015-07-01,False,2022-04-01,2024-01-01,27.0,8,1,3,2.8167153233620805,3.6361280634552586,2022-10-01,42,False
Ketamine,2013-01-01,False,2022-10-01,2023-01-01,39.0,2,1,1,1.893269379748003,2.7434863505841296,2023-01-01,20,False
Mitragynine,2017-10-01,False,2022-10-01,2023-01-01,20.0,2,1,1,2.3614873241411174,3.392128475520614,2023-01-01,21,False
Bromazolam,2021-04-01,False,2024-01-01,2025-01-01,11.0,5,1,2,4.7807619107692165,6.8284145433475025,2024-04-01,20,False
Codeine,2012-01-01,True,2024-07-01,2024-10-01,,2,1,1,1.7306336204797526,2.4013614699588346,2024-07-01,25,False
Ephedrine,2016-01-01,False,2024-07-01,2024-10-01,34.0,2,1,1,2.1054149736138217,3.7231177227576278,2024-10-01,7,False
Xylazine,2023-07-01,False,2024-07-01,2024-07-01,4.0,1,1,1,1.930342069185801,3.58695588513776,2024-07-01,6,False
Benzylfentanyl,2022-04-01,False,2024-07-01,2025-01-01,9.0,3,1,1,1.7715677408643473,3.5184732106896157,2025-01-01,5,False
Carfentanil,2017-04-01,False,2024-07-01,2025-04-01,29.0,4,1,2,5.023073303558021,7.965653077112022,2024-07-01,12,False
Methocarbamol,2018-01-01,False,2024-07-01,2024-07-01,26.0,1,1,1,1.6337805279034907,3.365006026584182,2024-07-01,4,False
Mirtazapine,2012-10-01,False,2024-07-01,2024-07-01,47.0,1,1,1,2.0817485256383184,3.5136178639545776,2024-07-01,9,False
Lidocaine,2021-10-01,False,2024-10-01,2025-07-01,12.0,4,1,2,4.289566546230308,5.894877837994825,2025-01-01,27,False
Amphetamine,2013-01-01,False,2025-01-01,2025-01-01,48.0,1,1,1,1.5242247370002622,2.016596359215801,2025-01-01,35,False
"1,1-Difluoroethane",2013-01-01,False,2025-01-01,2025-01-01,48.0,1,1,1,1.520130299166588,2.6672364795805827,2025-01-01,8,False
Morphine,2012-01-01,True,2025-04-01,2025-04-01,,1,1,1,1.526296954267087,1.949375148492509,2025-04-01,45,False
