as_of,substance,rank,n_recent,n_baseline,ebgm,eb05
2017-04-01,Carfentanil,36.0,1,0,1.1304073211344297,0.4697461546357987
2017-07-01,Carfentanil,59.0,1,0,1.0852674725314657,0.5066284097211501
2017-10-01,Mitragynine,39.0,1,0,1.247360539245475,0.5588494281582259
2017-10-01,Carfentanil,44.0,1,0,1.247360539245475,0.5588494281582259
2018-01-01,Mitragynine,28.0,2,0,1.4081505609985832,0.7165882086829802
2018-01-01,Carfentanil,47.0,1,0,1.1966501300399668,0.5734612523936662
2018-04-01,Mitragynine,25.0,2,0,1.3045796951201911,0.6860168375257405
2018-04-01,Carfentanil,,0,1,0.8564797269389454,0.40075089616056125
2018-07-01,Mitragynine,14.0,3,0,1.5040871806379978,0.7927969958314183
2018-07-01,Carfentanil,,0,1,0.7921174966576502,0.3413874277054538
2018-10-01,Mitragynine,19.0,3,1,1.0857889126599316,0.6277395402390293
2018-10-01,Carfentanil,,0,1,0.7580397151113887,0.3914296080049166
2019-01-01,Mitragynine,34.0,2,2,0.8989429580067506,0.5016427482077167
2019-01-01,Carfentanil,,0,1,0.7459835315585778,0.38278468841088287
2019-04-01,Mitragynine,32.0,2,2,0.8297226249165222,0.3853536841202017
2019-04-01,Carfentanil,,0,1,0.5741287784340435,0.2139110077242794
2019-07-01,Mitragynine,73.0,1,3,0.7125761246976605,0.3837883955244484
2019-07-01,Carfentanil,,0,1,0.7078281620149216,0.36426771668203795
2019-10-01,Mitragynine,67.0,2,4,0.7689246480358831,0.404191509000402
2019-10-01,Carfentanil,,0,1,0.7092729151502181,0.33167202803006307
2020-01-01,Mitragynine,35.0,3,4,0.8701296068327783,0.39377549394079203
2020-01-01,Carfentanil,,0,1,0.5532774886474768,0.1511730218813208
2020-04-01,Mitragynine,24.0,5,4,1.2431686414444625,0.61961314663557
2020-04-01,Carfentanil,,0,0,0.6929958382986028,0.14239662238437442
2020-07-01,Mitragynine,16.0,6,4,1.3369701594468182,0.6996882359032283
2020-07-01,Carfentanil,,0,0,0.6844623732873588,0.13511666480117865
2020-10-01,Mitragynine,36.0,4,5,0.7614799058820986,0.35872592979509416
2020-10-01,Carfentanil,,0,0,0.6080142705369517,0.1346514952142161
2021-01-01,para-Fluorofentanyl,5.0,7,0,2.531054664825775,1.4339414495714897
2021-01-01,Mitragynine,37.0,4,5,0.7512172491713901,0.37418922578255354
2021-01-01,Carfentanil,,0,0,0.6221305086170733,0.19035047527266993
2021-04-01,para-Fluorofentanyl,1.0,24,0,4.051951442945664,2.958592357937415
2021-04-01,Bromazolam,46.0,1,0,0.8450399672179768,0.4157661343543061
2021-04-01,Mitragynine,83.0,3,7,0.5965727997107215,0.32379688994191
2021-04-01,Carfentanil,,0,0,0.7057633712048205,0.32371312777738104
2021-07-01,para-Fluorofentanyl,1.0,41,0,5.594566245470873,4.370536892077087
2021-07-01,Bromazolam,48.0,1,0,0.7902515515565564,0.40060048819218236
2021-07-01,Mitragynine,33.0,5,7,0.7610167396531522,0.44779538447340156
2021-07-01,Carfentanil,,0,0,0.6702623680249382,0.3196177303073262
2021-10-01,para-Fluorofentanyl,1.0,52,0,6.780812464981499,5.438208670818363
2021-10-01,Bromazolam,46.0,1,0,0.8232103919531124,0.4274304397723808
2021-10-01,Mitragynine,31.0,5,6,0.8431406266513588,0.5020129026880552
2021-10-01,Carfentanil,,0,0,0.7064960284234492,0.3473484297081327
2022-01-01,para-Fluorofentanyl,1.0,60,7,8.668801574204252,6.995431255843253
2022-01-01,Bromazolam,46.0,1,0,1.1469334267893467,0.36031769758819754
2022-01-01,Mitragynine,61.0,4,7,0.7583765148793442,0.3561961956081121
