substance,n_recent,ebgm,eb05,as_of
Alprazolam,16,1.6398979229352164,1.220461247228504,2014-10-01
Methamphetamine,176,1.249902542391633,1.1086689633714524,2014-10-01
Diphenhydramine,7,1.476768074365297,1.042400291983803,2014-10-01
PCP,7,1.476768074365297,1.042400291983803,2014-10-01
Clonazepam,4,1.4967027563585826,1.0303550982004877,2014-10-01
Fentanyl,13,1.3756028818962562,1.008618059125752,2014-10-01
Amphetamine,4,1.439301285945354,0.9908389702096707,2014-10-01
Quetiapine,7,1.3817205007405189,0.975309446631256,2014-10-01
Carisoprodol,5,1.3527812237156398,0.9396268043383448,2014-10-01
Trazodone,3,1.3701765901982688,0.9342348999474132,2014-10-01
Oxycodone,21,1.2157202366099067,0.9237190674952184,2014-10-01
Fluoxetine,4,1.33676610989822,0.9202520477655072,2014-10-01
Amlodipine,2,1.3529405438887194,0.9129601076732693,2014-10-01
Duloxetine,2,1.3529405438887194,0.9129601076732693,2014-10-01
Venlafaxine,2,1.3529405438887194,0.9129601076732693,2014-10-01
Insulin,2,1.3529405438887194,0.9129601076732693,2014-10-01
Cocaine,83,1.0769346969574236,0.9109218191893438,2014-10-01
Acetaminophen,3,1.319568561696515,0.8997285547200216,2014-10-01
Tramadol,6,1.282446548328925,0.8982171389042548,2014-10-01
Hydrocodone,20,1.162837834207183,0.8801882807346286,2014-10-01
Mirtazapine,2,1.3010526347691884,0.877946306578545,2014-10-01
Temazepam,2,1.3010526347691884,0.877946306578545,2014-10-01
Lamotrigine,2,1.3010526347691884,0.877946306578545,2014-10-01
Citalopram,6,1.2436718253268975,0.8710595775992096,2014-10-01
Codeine,3,1.2725658263759014,0.8676804260016977,2014-10-01
Pentobarbital,4,1.247868518103608,0.8590534653922284,2014-10-01
Promethazine,1,1.281060721806298,0.8547807851194646,2014-10-01
Metaxalone,1,1.281060721806298,0.8547807851194646,2014-10-01
Metoprolol,1,1.281060721806298,0.8547807851194646,2014-10-01
Propoxyphene,1,1.281060721806298,0.8547807851194646,2014-10-01
Olanzapine,1,1.281060721806298,0.8547807851194646,2014-10-01
Nortriptyline,1,1.281060721806298,0.8547807851194646,2014-10-01
Dothiepin,1,1.281060721806298,0.8547807851194646,2014-10-01
GHB,1,1.281060721806298,0.8547807851194646,2014-10-01
Estazolam,1,1.281060721806298,0.8547807851194646,2014-10-01
Fluvoxamine,1,1.281060721806298,0.8547807851194646,2014-10-01
25C-NBOMe,1,1.281060721806298,0.8547807851194646,2014-10-01
Buprenorphine,1,1.281060721806298,0.8547807851194646,2014-10-01
Caffeine,1,1.281060721806298,0.8547807851194646,2014-10-01
Atorvastatin,1,1.281060721806298,0.8547807851194646,2014-10-01
Carbamazepine,1,1.281060721806298,0.8547807851194646,2014-10-01
Tapentadol,1,1.281060721806298,0.8547807851194646,2014-10-01
Metformin,1,1.281060721806298,0.8547807851194646,2014-10-01
Cyclobenzaprine,1,1.281060721806298,0.8547807851194646,2014-10-01
Levetiracetam,1,1.281060721806298,0.8547807851194646,2014-10-01
Isopropanol,1,1.281060721806298,0.8547807851194646,2014-10-01
Desloratadine,1,1.281060721806298,0.8547807851194646,2014-10-01
Depakote,1,1.281060721806298,0.8547807851194646,2014-10-01
Zolpidem,2,1.252997727618021,0.8455190033942839,2014-10-01
Amitriptyline,2,1.252997727618021,0.8455190033942839,2014-10-01
MDMA,2,1.252997727618021,0.8455190033942839,2014-10-01
Meperidine,1,1.2319295440838618,0.8219982745385356,2014-10-01
Chlordiazepoxide,1,1.2319295440838618,0.8219982745385356,2014-10-01
Topiramate,1,1.2319295440838618,0.8219982745385356,2014-10-01
