substance,iou,recall,precision,gt_quarters,det_quarters,overlap_quarters,ground_truth,detected
para-Fluorofentanyl,0.4,0.4,1.0,20,8,8,2021Q1-2025Q4,2021Q2-2023Q1
Bromazolam,0.7142857142857143,0.7142857142857143,1.0,7,5,5,2023Q3-2025Q1,2024Q1-2025Q1
Mitragynine,0.13333333333333333,0.13333333333333333,1.0,15,2,2,2022Q2-2025Q4,2022Q4-2023Q1
Carfentanil,0.5,0.5,1.0,8,4,4,2024Q1-2025Q4,2024Q3-2025Q2
Xylazine,0.14285714285714285,0.14285714285714285,1.0,7,1,1,2023Q3-2025Q1,2024Q3-2024Q3
Fentanyl,0.6896551724137931,0.6896551724137931,1.0,29,20,20,2016Q2-2023Q2,2016Q3-2021Q2
PCP,0.17391304347826086,0.17391304347826086,1.0,23,4,4,2020Q2-2025Q4,2020Q3-2021Q2
Morphine,0.0,,0.0,0,1,0,none,2025Q2-2025Q2
Acetyl fentanyl,0.8,0.8,1.0,10,8,8,2022Q1-2024Q2,2022Q2-2024Q1
Benzylfentanyl,0.25,0.5,0.3333333333333333,2,3,1,2024Q2-2024Q3,2024Q3-2025Q1
Etizolam,0.4444444444444444,0.4444444444444444,1.0,9,4,4,2019Q4-2021Q4,2020Q1-2020Q4
Flualprazolam,0.8,0.8,1.0,5,4,4,2020Q1-2021Q1,2020Q2-2021Q1
Clonazepam,0.23076923076923078,0.23076923076923078,1.0,13,3,3,2019Q3-2022Q3,2020Q1-2020Q3
Ketamine,0.14285714285714285,0.14285714285714285,1.0,14,2,2,2022Q3-2025Q4,2022Q4-2023Q1
Ephedrine,0.5,0.5,1.0,4,2,2,2024Q1-2024Q4,2024Q3-2024Q4
Lidocaine,0.0,,0.0,0,4,0,none,2024Q4-2025Q3
Levamisole,0.0,,0.0,0,1,0,none,2022Q1-2022Q1
Alprazolam,,,,0,0,0,none,none
Codeine,0.2222222222222222,0.2222222222222222,1.0,9,2,2,2023Q4-2025Q4,2024Q3-2024Q4
Mirtazapine,0.0,,0.0,0,1,0,none,2024Q3-2024Q3
Hydromorphone,,,,0,0,0,none,none
Citalopram,0.0,,0.0,0,2,0,none,2017Q4-2017Q4; 2024Q4-2024Q4
