dyad,n_a,n_b,n_both,expected,lift,pct_of_a_also_b,pct_of_b_also_a,recent_n_both,recent_lift,mechanism
Fentanyl + Xylazine,9957,9,7,4.1263986738499785,1.6963944963342374,0.07030229988952495,77.77777777777777,2,1.9518619436875566,alpha-2 agonist adds non-opioid sedation; naloxone does not reverse it ('tranq dope')
Methadone + Prescription benzos,365,1287,35,21.63075010360547,1.618066864642207,9.58904109589041,2.7195027195027195,2,2.5223004694835676,additive respiratory depression; methadone's long/variable half-life compounds risk
Fentanyl + Designer benzos,9957,130,95,59.603536400055255,1.5938651586437065,0.9541026413578387,73.07692307692308,1,0.2788374205267938,"same mechanism, novel/unscheduled analogs (bromazolam etc.)"
Fentanyl + Prescription benzos,9957,1287,741,590.075010360547,1.2557725492344354,7.442000602591142,57.57575757575758,103,1.4157871845057628,additive/synergistic CNS + respiratory depression (FDA black-box)
Fentanyl + Cocaine,9957,3929,1904,1801.4022655062854,1.0569543718570151,19.12222556995079,48.46016798167473,221,0.9480472297910989,opposing-effects combination ('speedball')
Fentanyl + Methamphetamine,9957,11694,5199,5361.56734355574,0.9696791379947628,52.214522446520036,44.458696767573116,665,0.9650469833102047,opposing-effects combination ('goofball') -- cardiac strain + delayed overdose recognition
Cocaine + Ethanol,3929,3531,599,638.82207487222,0.9376632767736065,15.245609569865106,16.96403285188332,73,1.0842283502660859,"transesterified to cocaethylene in vivo -- longer half-life, more cardiotoxic than cocaine alone"
Fentanyl + Ethanol,9957,3531,1257,1618.9237463738086,0.7764417581838097,12.624284423018981,35.59898045879354,137,0.8408964977521863,additive CNS + respiratory depression
Heroin + Ethanol,2580,3531,296,419.4861168669706,0.7056252593309755,11.472868217054264,8.382894364202775,8,0.5148846960167714,additive CNS + respiratory depression
Methamphetamine + Ethanol,11694,3531,917,1901.345213427269,0.48229011413822215,7.841628185394219,25.96998017558765,108,0.5426387037946272,cardiovascular strain -- weaker literature support than the others; included as a check
Fentanyl + Diphenhydramine,9957,136,25,62.35446884928857,0.40093357318823886,0.2510796424625891,18.38235294117647,3,0.9759309718437783,"sedating antihistamine, additive CNS depression; also a known adulterant"
Fentanyl + Gabapentinoids,9957,69,8,31.635723166183176,0.25287868268336455,0.08034548558802852,11.594202898550725,0,0.0,respiratory depression synergy (2019 FDA warning)
Fentanyl + Z-drugs,9957,42,4,19.256527144633235,0.20772177506133518,0.04017274279401426,9.523809523809524,0,0.0,"GABA-A potentiation, same axis as benzos"
Fentanyl + Barbiturates,9957,51,2,23.382925818483216,0.08553249561349095,0.02008637139700713,3.9215686274509802,0,0.0,"GABA-A potentiation, same axis as benzos"
