substance,n_cases,alone_pct,with_fentanyl_pct,lead_pct,last_pct,mean_rank_pct,n_ranked,verdict,top_partners
Methamphetamine,1345,37.39776951672862,49.44237918215613,16.273291925465838,65.71428571428571,0.7464803312629399,805,independent,Fentanyl 49% (x1.0); Cocaine 10% (x0.5); PCP 8% (x1.3)
Fentanyl,1101,14.986376021798366,0.0,81.99780461031833,8.67178924259056,0.13219904866447127,911,principal driver,Methamphetamine 60% (x1.0); Cocaine 20% (x0.9); Ethanol 12% (x0.8)
Cocaine,455,25.714285714285715,48.57142857142857,44.4078947368421,31.25,0.4258223684210526,304,principal driver,Fentanyl 49% (x0.9); Methamphetamine 29% (x0.5); Ethanol 16% (x1.1)
Ethanol,318,20.440251572327043,43.081761006289305,27.272727272727273,65.15151515151516,0.6877104377104377,198,independent,Fentanyl 43% (x0.8); Methamphetamine 34% (x0.5); Cocaine 23% (x1.1)
PCP,137,0.0,51.09489051094891,2.2900763358778624,80.91603053435115,0.9026717557251909,131,secondary/incidental,Methamphetamine 80% (x1.3); Fentanyl 51% (x1.0); Cocaine 34% (x1.6)
Alprazolam,110,0.9090909090909091,75.45454545454545,20.754716981132077,46.22641509433962,0.6376235399820305,106,adulterant/marker,Fentanyl 75% (x1.5); Methamphetamine 36% (x0.6); Cocaine 25% (x1.2)
Heroin,105,7.619047619047619,49.523809523809526,34.44444444444444,23.333333333333332,0.43796296296296294,90,co-intoxicant,Methamphetamine 56% (x0.9); Fentanyl 50% (x1.0); Cocaine 15% (x0.7)
Oxycodone,34,8.823529411764707,38.23529411764706,25.0,35.714285714285715,0.5648809523809525,28,co-intoxicant,Fentanyl 38% (x0.7); Alprazolam 35% (x6.9); Cocaine 29% (x1.4)
Hydrocodone,30,6.666666666666667,30.0,14.814814814814815,37.03703703703704,0.6425925925925925,27,co-intoxicant,Methamphetamine 40% (x0.6); Cocaine 33% (x1.6); Fentanyl 30% (x0.6)
Morphine,29,3.4482758620689653,34.48275862068966,21.428571428571427,39.285714285714285,0.5790816326530611,28,co-intoxicant,Methamphetamine 48% (x0.8); Fentanyl 34% (x0.7); Heroin 24% (x4.9)
Acetyl fentanyl,28,0.0,100.0,39.285714285714285,17.857142857142858,0.3535714285714286,28,co-intoxicant,Fentanyl 100% (x2.0); Methamphetamine 57% (x0.9); Cocaine 21% (x1.0)
Amphetamine,25,40.0,48.0,0.0,72.72727272727273,0.8787878787878788,11,independent,Fentanyl 48% (x0.9); Cocaine 28% (x1.3); Alprazolam 8% (x1.6)
Ketamine,19,5.2631578947368425,63.1578947368421,11.11111111111111,50.0,0.7237654320987654,18,co-intoxicant,Fentanyl 63% (x1.2); Cocaine 42% (x2.0); Methamphetamine 21% (x0.3)
MDMA,19,15.789473684210526,52.63157894736842,12.5,56.25,0.7447916666666666,16,independent,Cocaine 58% (x2.7); Fentanyl 53% (x1.0); Methamphetamine 37% (x0.6)
Mitragynine,18,0.0,61.111111111111114,21.428571428571427,42.857142857142854,0.5935374149659863,14,co-intoxicant,Fentanyl 61% (x1.2); Ethanol 33% (x2.3); Cocaine 28% (x1.3)
Lidocaine,17,0.0,100.0,0.0,82.3529411764706,0.9264705882352942,17,adulterant/marker,Fentanyl 100% (x2.0); Methamphetamine 47% (x0.8); Cocaine 29% (x1.4)
Codeine,16,0.0,25.0,0.0,43.75,0.720486111111111,16,secondary/incidental,Heroin 69% (x14.1); Methamphetamine 38% (x0.6); Fentanyl 25% (x0.5)
Diazepam,13,0.0,61.53846153846154,16.666666666666668,25.0,0.5958333333333333,12,co-intoxicant,Fentanyl 62% (x1.2); Ethanol 54% (x3.6); Methamphetamine 23% (x0.4)
Lorazepam,12,0.0,66.66666666666667,0.0,75.0,0.9027777777777777,12,secondary/incidental,Fentanyl 67% (x1.3); Methamphetamine 50% (x0.8); Alprazolam 25% (x4.9)
Methadone,12,0.0,33.333333333333336,9.090909090909092,72.72727272727273,0.7954545454545454,11,secondary/incidental,Fentanyl 33% (x0.7); Ethanol 25% (x1.7); Heroin 25% (x5.1)
para-Fluorofentanyl,12,0.0,100.0,0.0,25.0,0.65,12,adulterant/marker,Fentanyl 100% (x2.0); Ethanol 50% (x3.4); Acetyl fentanyl 33% (x25.6)
Clonazepam,11,0.0,63.63636363636363,0.0,66.66666666666667,0.8425925925925926,9,secondary/incidental,Fentanyl 64% (x1.2); Methamphetamine 45% (x0.7); Alprazolam 18% (x3.6)
Trazodone,11,0.0,9.090909090909092,10.0,60.0,0.7333333333333333,10,secondary/incidental,Bupropion 18% (x55.8); Citalopram 18% (x78.1); Diphenhydramine 18% (x65.1)
Carfentanil,10,20.0,60.0,50.0,12.5,0.3229166666666667,8,principal driver,Methamphetamine 70% (x1.1); Fentanyl 60% (x1.2); Cocaine 20% (x0.9)
Quetiapine,10,30.0,10.0,0.0,57.142857142857146,0.7551020408163265,7,independent,Alprazolam 20% (x3.9); Bromazolam 10% (x30.7); Buprenorphine 10% (x53.7)
Tramadol,10,0.0,50.0,20.0,50.0,0.7,10,secondary/incidental,Fentanyl 50% (x1.0); Cocaine 40% (x1.9); Hydrocodone 40% (x28.7)
"1,1-Difluoroethane",8,0.0,50.0,37.5,25.0,0.375,8,co-intoxicant,Methamphetamine 100% (x1.6); Fentanyl 50% (x1.0); Ethanol 25% (x1.7)
Bromazolam,7,0.0,14.285714285714286,57.142857142857146,28.571428571428573,0.31428571428571433,7,principal driver,Hydrocodone 29% (x20.5); Methamphetamine 29% (x0.5); Acetyl fentanyl 14% (x11.0)
Bupropion,7,0.0,0.0,60.0,20.0,0.3,5,principal driver,Fluoxetine 29% (x122.8); Lorazepam 29% (x51.2); Trazodone 29% (x55.8)
Chlordiazepoxide,6,0.0,50.0,20.0,40.0,0.6333333333333333,5,secondary/incidental,Ethanol 83% (x5.6); Fentanyl 50% (x1.0); Alprazolam 17% (x3.3)
Diphenhydramine,6,0.0,50.0,0.0,50.0,0.8333333333333334,6,secondary/incidental,Alprazolam 50% (x9.8); Fentanyl 50% (x1.0); Cocaine 33% (x1.6)
Citalopram,5,0.0,20.0,40.0,20.0,0.3333333333333333,5,principal driver,Methamphetamine 40% (x0.6); Trazodone 40% (x78.1); Diphenhydramine 20% (x71.6)
Fluoxetine,5,0.0,0.0,25.0,50.0,0.625,4,secondary/incidental,Bupropion 40% (x122.8); Ethanol 40% (x2.7); Amlodipine 20% (x214.9)
Buprenorphine,4,0.0,0.0,50.0,50.0,0.5,2,principal driver,Methamphetamine 50% (x0.8); Naloxone 50% (x537.2); Alprazolam 25% (x4.9)
Hydromorphone,4,0.0,0.0,25.0,25.0,0.5138888888888888,4,co-intoxicant,Alprazolam 25% (x4.9); Buprenorphine 25% (x134.3); Bupropion 25% (x76.8)
Nitrous oxide,4,0.0,0.0,25.0,75.0,0.75,4,secondary/incidental,Cocaine 75% (x3.5); Ethanol 50% (x3.4); MDMA 50% (x56.6)
Nordiazepam,4,0.0,50.0,0.0,100.0,1.0,3,secondary/incidental,Cocaine 50% (x2.4); Ethanol 50% (x3.4); Fentanyl 50% (x1.0)
