zip,mean_log_rr,max_log_rr,min_p,n_cells,mean_rr
90744,0.7475207134864067,0.8194612405072492,0.002,89,2.111757868101493
90731,0.7311359895055193,0.823314815069256,0.002,135,2.077439216891563
90732,0.7137418339028149,0.8115040811783012,0.002,33,2.0416163731555708
90802,0.676400495458741,0.7594553144207619,0.002,65,1.966785522247891
90044,0.6608170270639261,0.7024428589055796,0.002,48,1.9363737580473026
90813,0.6596452975215991,0.7113233183619632,0.002,42,1.9341061804632733
90047,0.651868806641651,0.700937279828441,0.002,56,1.9191239514762193
90003,0.6437932338636094,0.6862288629932989,0.002,33,1.9036883359401957
90305,0.6320856228096253,0.6687558476380788,0.002,18,1.8815306531928824
91103,0.618670756970428,0.6839404838384002,0.002,52,1.8564587162347552
91104,0.6181878419073172,0.6815152914018108,0.002,39,1.8555624207913461
90710,0.6151727453045178,0.7560294228048865,0.002,27,1.8499761466502065
91101,0.6127768980969126,0.656484106007305,0.002,10,1.8455491917364932
90061,0.6003893647755206,0.6723749741938465,0.002,27,1.8228284074072183
90717,0.5955921742458234,0.7527673462854048,0.002,22,1.814104893143487
90002,0.5802395609691713,0.645380169658675,0.002,28,1.7864663471015025
90001,0.579975941524535,0.6418604748645289,0.002,41,1.785995461905192
90755,0.5684895652113542,0.6027001632143691,0.002,19,1.765598215422405
90303,0.5650386689064093,0.6383248372966399,0.002,19,1.7595158199589116
90806,0.5605498427599321,0.6566657483249787,0.002,45,1.7516353595817464
91125,0.5416703067992126,0.5416703067992126,0.008,1,1.7188755152126458
91106,0.5392125603400909,0.6430025442510994,0.004,31,1.714656142199935
90059,0.5356218077021817,0.6281937282935539,0.002,39,1.7085102768787575
90804,0.526404389675031,0.5907006301837514,0.002,26,1.6928345791672412
90810,0.523558531138368,0.6856086165682971,0.002,75,1.688023859988879
90043,0.494663659708476,0.6342535660663393,0.002,43,1.6399465661811836
91105,0.493536114041919,0.6052113809373556,0.004,41,1.6380984936259984
90037,0.49075819999406184,0.5568809777873693,0.002,29,1.6335543114048094
90814,0.47955611946925797,0.5890681073921109,0.002,10,1.6153572174134851
90011,0.4788853016395791,0.5511550054532841,0.002,40,1.6142739703620832
90255,0.4720053922443637,0.5311308109522894,0.002,39,1.603206028581938
90062,0.46878125779128865,0.5538626507434983,0.002,18,1.5980454005395566
90301,0.46651042227616785,0.6023931389083725,0.002,33,1.5944206194876664
90058,0.45065273368153125,0.5275930722802107,0.002,52,1.5693362098480306
90249,0.4459295684470111,0.5875719951652605,0.002,29,1.5619414526973756
90807,0.43980171714620736,0.5883313733597331,0.002,50,1.5523993738141164
90302,0.4361931659074512,0.5411533487064797,0.002,21,1.546807556378448
90275,0.4356002843702071,0.8028263940604541,0.002,135,1.5458907545408984
91748,0.43131086477586167,0.6412264683667486,0.036,144,1.5392739816505272
90745,0.429792546307557,0.6749942132144491,0.002,91,1.5369386468760007
90222,0.41971079971457237,0.509978601155094,0.002,25,1.5215214675422049
90021,0.416404420039794,0.4498953599197262,0.002,23,1.5164990474764815
90247,0.410829560219494,0.5980896563870224,0.002,38,1.5080682998223238
90846,0.3930852078547377,0.4368785182571391,0.004,5,1.4815446231901699
90274,0.3912879500369653,0.7734345809728373,0.002,125,1.478884296895979
90304,0.38346191805857166,0.524287139335581,0.002,18,1.4673556716319862
90089,0.38282183346840903,0.3958043394060402,0.002,2,1.466416740408048
90023,0.3792580292898303,0.4530735728604949,0.002,58,1.4612000195082475
90803,0.3638307648358235,0.5864592377947875,0.002,52,1.4388306928039205
90013,0.359606488380329,0.38322750813503026,0.002,6,1.4327654937428687
90033,0.3549786377739361,0.3918201568426176,0.002,32,1.426150188213348
90822,0.3543170268777535,0.36886333796545534,0.016,3,1.4252069437740398
90014,0.34994977738123323,0.3626884685686744,0.002,3,1.4189962810943952
90007,0.3493825753272723,0.43636645849796807,0.002,26,1.4181916517044888
90248,0.3370963888788718,0.5173468896371762,0.004,49,1.4008740859136943
91108,0.33463587777284376,0.48402434647893156,0.012,38,1.3974314567176815
90015,0.32865117703839225,0.3883636929093983,0.002,17,1.389093223454962
91001,0.3277329127715515,0.6731824256481991,0.006,294,1.387818254253471
91030,0.32563736742475924,0.44881723259140704,0.012,36,1.3849130632114945
91107,0.325417935443058,0.5538648568104749,0.016,83,1.3846092023331666
90840,0.3230049021598645,0.36600934508800353,0.016,3,1.3812721221057922
90505,0.3116543060880975,0.6399049594135042,0.002,58,1.365682503290644
90270,0.31114616981310456,0.4048666369503606,0.002,12,1.3649887267520397
90063,0.3106304164086164,0.37938807723248225,0.002,31,1.3642849106824977
90220,0.3086340774902217,0.4678777328931747,0.006,72,1.3615640524007986
90250,0.3079612672666522,0.6122674913154538,0.002,67,1.3606482862892448
90071,0.3063545304206332,0.31585805495593267,0.002,2,1.3584638379399652
90815,0.2889925188371249,0.5427617993525358,0.002,71,1.335081740527195
