delay_m,early,late,raw,completeness,se
0,55.0,202,0.2722772277227723,0.2722772277227723,0.03131936570637049
1,150.0,228,0.6578947368421053,0.6578947368421053,0.03141887716716574
2,205.0,268,0.7649253731343284,0.7649253731343284,0.02590269872052153
3,169.0,212,0.7971698113207547,0.7917570498915402,0.0278877317855768
4,196.0,249,0.7871485943775101,0.7917570498915402,0.025732468499829554
5,213.0,268,0.7947761194029851,0.7947761194029851,0.024669988976102803
6,211.0,247,0.854251012145749,0.854251012145749,0.02245158717721675
7,251.0,280,0.8964285714285715,0.8950086058519794,0.018319408258424763
8,269.0,301,0.893687707641196,0.8950086058519794,0.017668806278069424
9,212.0,213,0.9953051643192489,0.9953051643192489,0.004683801974120892
10,223.0,223,1.0,0.998641304347826,0.0024666834711066983
11,228.0,228,1.0,0.998641304347826,0.0024394865708546767
12,284.0,285,0.9964912280701754,0.998641304347826,0.002181943121051566
13,290.0,290,1.0,1.0,0.0
14,255.0,255,1.0,1.0,0.0
15,194.0,194,1.0,1.0,0.0
