substance,n_recent,n_baseline,expected,share_recent_pct,share_baseline_pct,count_ratio,ebgm,eb05,eb95,n_total,first_seen,last_seen,date_added,date_added_censored,category
PCP,137,231,90.57421234747768,6.363214119832792,4.206883991986888,1.1861471861471862,1.465202236805901,1.274904670894834,1.6772690792361342,711,2012-01-01,2025-10-01,1998-10-01,True,Depressants and Tranquilizers
Alprazolam,110,210,82.34019304316153,5.1091500232234095,3.8244399927153525,1.0476190476190477,1.2990442619970635,1.1129651578492008,1.5088842101312918,922,2012-01-01,2025-10-01,1998-10-01,True,Benzodiazepines
Cocaine,455,1009,395.62502276452375,21.13330236878774,18.375523584046622,0.9018830525272548,1.145335262705901,1.0602908359498326,1.2356794540544707,3929,2012-01-01,2025-10-01,1998-10-01,True,Cocaine Alkaloids
Lidocaine,17,22,8.626115461664542,0.7895959126799814,0.4006556182844655,1.5454545454545454,1.469654001467263,1.036979828229373,2.0340889491092176,42,2021-10-01,2025-10-01,1998-10-01,True,Other substances
Ethanol,318,741,290.5432525951557,14.770088248954947,13.494809688581315,0.8582995951417004,1.0894927120176543,0.993595435413968,1.192557566321461,3531,2012-01-01,2025-10-01,,False,Supplement
Methamphetamine,1345,3328,1304.896011655436,62.47097073850441,60.60826807503187,0.8082932692307693,1.0299624687048228,0.9846936738284493,1.0768594655386365,11694,2012-01-01,2025-10-01,1998-10-01,True,Phenethylamines (Amphetamines) (S)
Oxycodone,34,68,26.6625386996904,1.5791918253599628,1.238390092879257,1.0,1.1917167059200853,0.9149152784844528,1.5308836936598866,453,2012-01-01,2025-10-01,1998-10-01,True,Narcotic Analgesics
Carfentanil,10,12,4.705153888180659,0.4644681839294008,0.218539428155163,1.6666666666666667,1.3687052933013009,0.9015383117802553,2.009593705656432,23,2017-04-01,2025-10-01,1998-10-01,True,Fentanyl and Fentanyl-related
MDMA,19,33,12.939173192496813,0.8824895494658616,0.6009834274266982,1.1515151515151516,1.2578577242146534,0.9002379656838769,1.7195206341549387,163,2012-01-01,2025-10-01,1998-10-01,True,Phenethylamines (Other) (H)
"1,1-Difluoroethane",8,8,3.136769258787106,0.3715745471435207,0.145692952103442,2.0,1.3824641055181004,0.8851289169717681,2.0789149721911038,28,2013-01-01,2025-07-01,,False,Supplement
