substance,model,n_cases,centre_zip,n_zips,radius_km,window_q,window_from,observed,expected,rate_ratio,deaths_in_cylinder,llr,p_value,p_across_substances,recurrence_interval,zips
Cocaine,bernoulli,1454,90011,12,5.147547312201816,5,2024-10-01,137,66.05599577390386,2.0739979527206422,344,41.20943400942178,0.001,0.046,1000.0,90011|90058|90037|90007|90021|90015|90014|90001|90013|90255|90062|90003
PCP,bernoulli,367,90002,37,10.391195616605785,4,2025-01-01,68,24.23402007395668,2.805972752043597,500,31.534090312006583,0.001,0.046,1000.0,90002|90001|90059|90003|90061|90255|90044|90280|90222|90262|90047|90058|90011|90270|90201|90037|90305|90220|90221|90247|90062|90303|90248|90043|90249|90007|90021|90023|90723|90746|90301|90015|90304|90040|90302|90014|90013
Dissociatives,bernoulli,429,90274,69,26.438422266694893,5,2024-10-01,90,39.99920760697306,2.250044572990749,706,28.46370470979855,0.001,0.046,1000.0,90274|90275|90505|90277|90717|90503|90732|90501|90710|90254|90731|90502|90278|90744|90504|90745|90260|90266|90248|90249|90247|90250|90746|90810|90245|90813|90220|90806|90303|90304|90802|90061|90807|90045|90301|90755|90293|90222|90305|90221|90059|90805|90814|90804|90047|90044|90302|90094|90003|90002|90803|90262|90043|90056|90292|90723|90712|90230|90815|90001|90066|90280|90291|90062|90008|90706|90713|90808|90037
Depressants and Tranquilizers,bernoulli,481,90277,66,22.19699689215869,5,2024-10-01,94,44.33940834653989,2.1200102460847448,698,26.03763717596007,0.001,0.046,1000.0,90277|90503|90254|90505|90278|90274|90266|90501|90504|90260|90717|90275|90502|90710|90250|90249|90245|90247|90745|90248|90732|90304|90303|90744|90746|90045|90731|90301|90293|90061|90305|90220|90302|90810|90047|90094|90044|90059|90222|90056|90292|90043|90003|90221|90230|90002|90806|90807|90066|90813|90805|90291|90262|90802|90001|90008|90755|90062|90232|90723|90037|90405|90280|90016|90804|90034
Cutting agents and adulterants,bernoulli,59,90043,42,9.95635208399437,6,2024-07-01,22,6.428288431061807,3.422372881355932,825,14.237876548513157,0.001,0.046,1000.0,90043|90302|90056|90305|90062|90008|90047|90301|90037|90044|90303|90304|90018|90016|90003|90007|90045|90230|90019|90011|90232|90001|90034|90250|90006|90061|90094|90002|90015|90005|90035|90066|90010|90249|90036|90058|90245|90020|90057|90021|90017|90255
Depressants,bernoulli,926,90277,66,22.19699689215869,5,2024-10-01,131,85.36027469624933,1.534671724829349,698,13.647772353118398,0.002,0.092,500.0,90277|90503|90254|90505|90278|90274|90266|90501|90504|90260|90717|90275|90502|90710|90250|90249|90245|90247|90745|90248|90732|90304|90303|90744|90746|90045|90731|90301|90293|90061|90305|90220|90302|90810|90047|90094|90044|90059|90222|90056|90292|90043|90003|90221|90230|90002|90806|90807|90066|90813|90805|90291|90262|90802|90001|90008|90755|90062|90232|90723|90037|90405|90280|90016|90804|90034
Lidocaine,bernoulli,39,90043,42,9.95635208399437,6,2024-07-01,17,4.249207606973059,4.000745920745921,825,13.624321016340446,0.002,0.092,500.0,90043|90302|90056|90305|90062|90008|90047|90301|90037|90044|90303|90304|90018|90016|90003|90007|90045|90230|90019|90011|90232|90001|90034|90250|90006|90061|90094|90002|90015|90005|90035|90066|90010|90249|90036|90058|90245|90020|90057|90021|90017|90255
Supplement,bernoulli,1079,90265,20,28.110831048965515,5,2024-10-01,36,15.10486001056524,2.383338870722368,106,13.221906613440751,0.002,0.092,500.0,90265|91301|91361|91362|91302|90290|90272|91364|91307|91367|90402|91303|90403|90401|91304|91356|91306|90405|90404|90049
Antidepressants,bernoulli,105,90035,8,3.8276617917244,5,2024-10-01,8,0.6933438985736925,11.538285714285715,50,13.094714342098086,0.003,0.138,333.3333333333333,90035|90211|90212|90048|90034|90036|90067|90016
Alprazolam,bernoulli,320,91381,77,38.95828149933224,4,2025-01-01,46,20.961436872688854,2.1945060483870966,496,12.912226073104648,0.002,0.092,500.0,91381|91355|91321|91354|91350|91351|91384|91326|91344|91311|91387|91342|91345|91340|91324|91325|91304|91390|91343|91306|91331|91303|91335|91402|91307|91406|91367|91405|91356|91316|91364|91411|91352|91605|91401|91436|91040|91403|91606|91423|90290|91607|91302|91042|91601|91504|91301|91604|91602|90077|91362|91505|91506|91502|91501|91214|93532|91361|91201|93510|90210|91020|90068|90095|90069|90049|90272|90024|90073|91202|90046|90067|91207|90028|91011|91203|90048
Prescription benzodiazepines,bernoulli,441,90272,72,21.79967580727661,4,2025-01-01,58,29.87757527733756,1.9412552545384625,513,12.229810033032209,0.003,0.138,333.3333333333333,90272|90402|90403|90401|90404|90049|90405|90073|90025|90290|90291|90095|90024|90064|90077|90292|90066|90067|91302|91364|91356|90212|90210|91436|91316|90232|90094|90034|90230|90293|91403|91367|90035|90211|91423|90048|90069|91335|91411|91303|90045|91306|91406|91401|91307|90036|90016|91604|90056|90046|90245|91607|91405|90008|90302|91325|91304|91602|90019|90265|91324|90301|91601|90028|90068|90038|90043|90304|91606|90018|91402|91343
Medicines and other,bernoulli,1289,90067,37,9.96982458712334,5,2024-10-01,80,47.49484944532488,1.6843931696655738,279,12.120699294623591,0.005,0.23,200.0,90067|90212|90024|90095|90210|90211|90035|90064|90048|90025|90034|90073|90069|90232|90049|90036|90077|90046|90016|90066|90404|90230|90019|90403|90038|90028|90405|90008|90401|90291|91604|90068|90056|90292|90018|90094|90402
Benzodiazepines,bernoulli,474,90272,73,22.32600855592343,4,2025-01-01,61,32.175911251980985,1.8958282027286608,514,12.098872163315036,0.004,0.184,250.0,90272|90402|90403|90401|90404|90049|90405|90073|90025|90290|90291|90095|90024|90064|90077|90292|90066|90067|91302|91364|91356|90212|90210|91436|91316|90232|90094|90034|90230|90293|91403|91367|90035|90211|91423|90048|90069|91335|91411|91303|90045|91306|91406|91401|91307|90036|90016|91604|90056|90046|90245|91607|91405|90008|90302|91325|91304|91602|90019|90265|91324|90301|91601|90028|90068|90038|90043|90304|91606|90018|91402|91343|90266
Other substances,bernoulli,185,90016,8,4.495787148364503,5,2024-10-01,11,1.7346804014791335,6.341225732775028,71,11.945931933844804,0.004,0.184,250.0,90016|90008|90019|90018|90035|90034|90036|90232
