substance,centre_zip,n_zips,radius_km,cases_inside,pop_inside,trend_inside_pct,trend_outside_pct,llr,p_value,zips
all overdose deaths,91765,5,7.997042097717505,156,230790.0,25.166159004450762,-9.75499876880116,10.151086954268976,0.016,91765|91789|91766|91768|91748
all overdose deaths,91765,4,7.370885166551237,134,188327.0,28.137081076472214,-9.71763957604762,9.971073042688658,,91765|91789|91766|91768
all overdose deaths,91765,6,8.201912815964949,166,261419.0,21.667907558840295,-9.743968950247217,9.029587292359793,,91765|91789|91766|91768|91748|91792
all overdose deaths,91765,7,10.10803193373796,290,310571.0,12.83705343704269,-9.878947337100863,8.893847546089091,,91765|91789|91766|91768|91748|91792|91767
all overdose deaths,91767,4,4.369114110799609,251,190208.0,14.063459851288806,-9.82337642505321,8.431873833018471,,91767|91768|91766|91711
all overdose deaths,91766,6,7.470197521355478,281,267402.0,12.580060218701238,-9.853938263786677,8.426109498002916,,91766|91768|91767|91750|91765|91711
all overdose deaths,91768,2,2.6865550224106105,109,103527.0,28.8868453647094,-9.646382839574708,8.355518861062592,,91768|91766
all overdose deaths,91766,2,2.6865550224106105,109,103527.0,28.8868453647094,-9.646382839574708,8.355518861062592,,91766|91768
all overdose deaths,91767,5,4.741037109619339,264,222900.0,12.196901902043633,-9.812218350222334,7.656558472808683,,91767|91768|91766|91711|91750
all overdose deaths,91711,5,7.470197521355478,264,222900.0,12.196901902043633,-9.812218350222334,7.656558472808683,,91711|91767|91750|91768|91766
