as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval,reference
2025-10-01,Lidocaine,substance,1,6.0,31,17.357142857142858,39,10.017604339841348,0.0009,1.7860082304526748,1111.111111111111,deaths
2025-10-01,Dissociatives,family,4,5.0,203,158.26818419675564,433,9.655045906606745,0.0022,1.2826330259001057,454.5454545454545,deaths
2025-10-01,Depressants and Tranquilizers,category,21,5.0,225,178.3715332286761,488,9.325535685374454,0.0037,1.261412042198153,270.27027027027026,deaths
2025-10-01,PCP,substance,1,5.0,174,134.5096807953951,368,8.846131237128915,0.0054,1.2935871899411782,185.18518518518516,deaths
2025-10-01,Depressants,superclass,40,6.0,512,450.8406593406594,1013,7.427058738863039,0.0305,1.1356562221978477,32.78688524590164,deaths
2025-10-01,Carfentanil,substance,1,6.0,18,9.791208791208792,22,6.49651537694814,0.062,1.8383838383838382,16.129032258064516,deaths
2025-10-01,Cutting agents and adulterants,family,5,6.0,40,26.703296703296704,60,5.969174603196208,0.1538,1.4979423868312756,6.501950585175553,deaths
2025-10-01,Prescription opioids,family,13,6.0,247,210.06593406593407,472,5.8075272535943725,0.1611,1.175821301527516,6.207324643078834,deaths
2025-10-01,Narcotic Analgesics,category,18,6.0,274,235.43406593406596,529,5.6511620015449395,0.1892,1.1638077901467945,5.285412262156448,deaths
2025-10-01,Alprazolam,substance,1,6.0,171,142.41758241758242,320,5.128126500060933,0.2478,1.2006944444444443,4.035512510088782,deaths
2025-10-01,Oxycodone,substance,1,6.0,61,45.3956043956044,102,4.799875950775675,0.3756,1.343742435245703,2.6624068157614484,deaths
2025-10-01,Medicines and other,superclass,123,6.0,712,655.5659340659341,1473,4.356695429760002,0.5098,1.0860845004316377,1.9615535504119261,deaths
2025-10-01,Cocaine,substance,1,3.0,344,298.5839874411303,1464,4.187735380347753,0.5488,1.1521046488396303,1.8221574344023326,deaths
2025-10-01,Inhalants,family,7,4.0,12,6.196493982208269,22,3.354608830276029,0.8425,1.936578980703458,1.1869436201780414,deaths
2025-10-01,Prescription benzodiazepines,family,11,6.0,243,215.85164835164838,485,3.0575819282503254,0.9021,1.1257731958762884,1.108524553818867,deaths
2025-10-01,Other substances,category,71,6.0,119,100.58241758241759,226,3.015637703480124,0.936,1.183109363050366,1.0683760683760684,deaths
2025-10-01,Nitrous oxide,substance,1,2.0,3,0.6554160125588698,5,3.0117265429467217,0.9418,4.577245508982035,1.0617965597791463,deaths
2025-10-01,Morphine,substance,1,6.0,51,39.60989010989011,89,2.927853053955374,0.9559,1.2875572201414898,1.046134532900931,deaths
2025-10-01,Stimulants,superclass,11,3.0,1344,1270.4096023024595,6229,2.640213347338033,0.9802,1.0579265124918507,1.0201999591920017,deaths
