node,level,n_study_ours,n_study_ref,window_q_ours,window_q_ref,observed_ours,observed_ref,expected_ours,expected_ref,llr_ours,llr_ref,llr_diff,p_value_ours,p_value_ref,recurrence_interval_ours,recurrence_interval_ref
Lidocaine,substance,39,39.0,6.0,6.0,31,31.0,19.499999999999996,19.5,7.2429715152598835,7.242972,4.847401164909115e-07,0.0386,0.0404,25.906735751295336,25.0
Carfentanil,substance,22,22.0,6.0,6.0,18,18.0,10.999999999999998,11.0,4.818173085046378,4.818173,8.504637794004566e-08,0.4312,0.4313,2.3191094619666046,2.0
Naloxone,substance,2,2.0,2.0,2.0,2,2.0,0.3333333333333333,0.33,3.58351893845611,3.583519,6.15438899842502e-08,0.8236,0.8275,1.2141816415735793,1.0
Cutting agents and adulterants,family,60,60.0,6.0,6.0,40,40.0,29.999999999999996,30.0,3.397980735907952,3.397981,2.640920482299691e-07,0.8995,0.8977,1.1117287381878822,1.0
Dissociatives,family,433,433.0,5.0,5.0,203,203.0,180.41666666666666,180.42,2.398967424099361,2.398967,4.240993609627708e-07,0.9971,0.9972,1.0029084344599337,1.0
Nitrous oxide,substance,5,5.0,2.0,2.0,3,3.0,0.8333333333333333,0.83,2.3748631862257925,2.374863,1.8622579256444283e-07,0.9981,0.9984,1.001903616872057,1.0
PCP,substance,368,368.0,5.0,5.0,174,174.0,153.33333333333331,153.33,2.362465117166984,2.362465,1.1716698411490256e-07,0.9985,0.9986,1.0015022533800702,1.0
Carisoprodol,substance,2,2.0,4.0,4.0,2,2.0,0.6666666666666666,0.67,2.1972245773362196,2.197225,4.226637804194411e-07,0.9996,0.9998,1.0004001600640255,1.0
Inhalants,family,22,22.0,5.0,5.0,14,14.0,9.166666666666666,9.17,2.1479353029854553,2.147935,3.0298545539153565e-07,0.9997,0.9998,1.000300090027008,1.0
MDMB-4en-PINACA,substance,3,3.0,6.0,6.0,3,3.0,1.4999999999999998,1.5,2.0794415416798366,2.079442,4.58320163154724e-07,1.0,0.9999,1.0,1.0
Promethazine,substance,3,3.0,6.0,6.0,3,3.0,1.4999999999999998,1.5,2.0794415416798366,2.079442,4.58320163154724e-07,1.0,0.9999,1.0,1.0
