as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval,reference
2025-10-01,Dissociatives,family,4,5.0,203,155.8680055401662,433,10.756521447371455,0.0011,1.3023840222789544,909.090909090909,mentions
2025-10-01,Depressants and Tranquilizers,category,21,5.0,225,175.66648199445982,488,10.47615220998891,0.0014,1.280836261109254,714.2857142857143,mentions
2025-10-01,Lidocaine,substance,1,6.0,31,17.131371191135734,39,10.340458574708151,0.0015,1.8095457540515083,666.6666666666666,mentions
2025-10-01,PCP,substance,1,5.0,174,132.46980609418281,368,9.817591273365025,0.0027,1.3135068671897219,370.3703703703703,mentions
2025-10-01,Depressants,superclass,40,6.0,512,444.9763850415512,1013,8.931343647156176,0.0056,1.1506228582269376,178.57142857142858,mentions
2025-10-01,Prescription opioids,family,13,6.0,247,207.33351800554016,472,6.706465198672156,0.0525,1.1913172668656493,19.047619047619047,mentions
2025-10-01,Carfentanil,substance,1,6.0,18,9.663850415512465,22,6.690674390402952,0.0538,1.862611611941582,18.587360594795538,mentions
2025-10-01,Narcotic Analgesics,category,18,6.0,274,232.37167590027698,529,6.592274639408842,0.06,1.1791454312942509,16.666666666666668,mentions
2025-10-01,Cutting agents and adulterants,family,5,6.0,40,26.35595567867036,60,6.28533175004209,0.0919,1.5176835356561038,10.881392818280741,mentions
2025-10-01,Alprazolam,substance,1,6.0,171,140.5650969529086,320,5.820716926175201,0.1569,1.2165182090493458,6.373486297004461,mentions
2025-10-01,Medicines and other,superclass,123,6.0,712,647.0387119113573,1473,5.781340556309225,0.1656,1.1003978384797821,6.038647342995169,mentions
2025-10-01,Cocaine,substance,1,3.0,344,293.20554016620497,1464,5.283798858684342,0.2269,1.17323840403903,4.407227853680036,mentions
2025-10-01,Oxycodone,substance,1,6.0,61,44.80512465373961,102,5.173050175229891,0.2493,1.3614514069856225,4.011231448054553,mentions
2025-10-01,Stimulants,superclass,11,3.0,1344,1247.5254847645429,6229,4.577997237789063,0.4773,1.0773327009457172,2.0951183741881416,mentions
