substance,first_seen,first_seen_censored,first_breach,last_breach,lag_quarters,quarters_in_alarm,n_episodes,longest_episode_q,peak_eb05,peak_ebgm,peak_as_of,n_at_peak,still_open,latest_onset,avg_baseline_deaths_q,emergent
Fentanyl,2012-01-01,True,2016-07-01,2021-01-01,,19,1,7,3.927020793329926,4.569165392564194,2017-04-01,131,False,2016-07-01,3.875,False
Citalopram,2012-01-01,True,2017-10-01,2017-10-01,,1,1,1,1.657071145850993,2.7999557497515903,2017-10-01,9,False,2017-10-01,0.25,True
Etizolam,2013-01-01,False,2020-01-01,2020-10-01,28.0,4,1,2,3.9206246424491766,5.781168616862158,2020-04-01,21,False,2020-01-01,0.25,True
Clonazepam,2014-01-01,False,2020-04-01,2020-07-01,25.0,2,1,1,2.3461440563249876,3.491356289657026,2020-04-01,20,False,2020-04-01,0.625,True
Flualprazolam,2019-10-01,False,2020-04-01,2021-01-01,2.0,4,1,2,1.9568358407442608,3.7113629459499915,2020-04-01,10,False,2020-04-01,0.0,True
PCP,2012-01-01,True,2020-07-01,2021-10-01,,5,2,2,2.3788737567665774,2.893584739028429,2021-01-01,86,False,2021-10-01,10.375,False
para-Fluorofentanyl,2021-01-01,False,2021-04-01,2023-01-01,1.0,8,1,3,8.676938047357218,10.856296552175777,2022-01-01,69,False,2021-04-01,0.0,True
Acetyl fentanyl,2015-07-01,False,2022-04-01,2024-01-01,27.0,8,1,3,2.7231187185912598,3.6585242341790365,2023-01-01,41,False,2022-04-01,1.5,True
Mitragynine,2017-10-01,False,2022-10-01,2023-04-01,20.0,3,1,1,2.548525444981566,3.8391380811330205,2023-01-01,21,False,2022-10-01,1.125,True
Ketamine,2013-01-01,False,2023-01-01,2023-01-01,40.0,1,1,1,1.9711752294795593,2.969408801855551,2023-01-01,21,False,2023-01-01,1.375,True
Bromazolam,2021-04-01,False,2024-01-01,2024-10-01,11.0,4,1,2,2.5526252081291245,3.779409171295892,2024-07-01,20,False,2024-01-01,0.25,True
Carfentanil,2017-04-01,False,2024-07-01,2025-04-01,29.0,4,1,2,2.58690830356508,4.111732568708972,2024-07-01,13,False,2024-07-01,0.0,True
