as_of,substance,rank,n_recent,n_baseline,ebgm,eb05,eb05_own,treescan_ri,credible_rise
2017-04-01,Carfentanil,21.0,2,0,1.5511740829906198,0.6209477713886137,0.7645303112607731,1.0,False
2017-07-01,Carfentanil,26.0,2,0,1.5106908462289532,0.6252406719940808,0.7843682812191008,1.0,False
2017-10-01,Mitragynine,54.0,1,0,1.28497785232888,0.5039803491837566,0.6013126137365845,1.0,False
2017-10-01,Carfentanil,25.0,2,0,1.6098950830946153,0.7008687889689641,0.8362255626946236,1.0,False
2018-01-01,Mitragynine,30.0,2,0,1.4301045428808548,0.6944447051277518,0.8189467602155229,1.0,False
2018-01-01,Carfentanil,29.0,2,0,1.4301045428808548,0.6944447051277518,0.8189467602155229,1.0,False
2018-04-01,Mitragynine,25.0,2,0,1.2687079147910423,0.6969744390158847,0.8365487776890975,1.0,False
2018-04-01,Carfentanil,,0,2,0.8573860308356237,0.43466831458285027,0.5217138402111545,1.0,False
2018-07-01,Mitragynine,14.0,3,0,1.5203934676763498,0.784752947553983,0.9713651036784148,1.055297593921486,False
2018-07-01,Carfentanil,,0,2,0.752578431728345,0.3206076828000149,0.39684738470437664,1.0,False
2018-10-01,Mitragynine,20.0,3,1,1.195197596899367,0.6284845093022466,0.8165319707299145,1.1143302874972143,False
2018-10-01,Carfentanil,,0,2,0.6962070835374744,0.30855624595355724,0.40087867836413466,1.0,False
2019-01-01,Mitragynine,37.0,2,2,0.9540812663884731,0.46417488533374357,0.6212930458021735,1.0127607859023695,False
2019-01-01,Carfentanil,,0,2,0.6688359249929897,0.28079656264838626,0.37584317366641584,1.0,False
2019-04-01,Mitragynine,31.0,2,2,0.8655045019177056,0.35977386370805803,0.485448299561585,1.0,False
2019-04-01,Carfentanil,,0,2,0.4914564630492014,0.15091679189297583,0.20363431689782843,1.0,False
2019-07-01,Mitragynine,64.0,1,3,0.7358333488123008,0.37518489302478725,0.5017264223306587,1.0,False
2019-07-01,Carfentanil,,0,2,0.6839966402907949,0.3314505980979641,0.44324149203655017,1.0,False
2019-10-01,Mitragynine,63.0,2,4,0.7472427230082004,0.34450934495739016,0.4635022226163304,1.0,False
2019-10-01,Carfentanil,,0,2,0.5969387121461036,0.22852113519019945,0.3074518987601223,1.0,False
2020-01-01,Mitragynine,38.0,3,4,0.8678262441137671,0.3738174636004663,0.5422489170262313,1.0,False
2020-01-01,Carfentanil,,0,2,0.4761429478375195,0.12497732387145735,0.18128860405868424,1.0,False
2020-04-01,Mitragynine,25.0,5,4,1.2101531988605225,0.5807315702861834,0.9208193864718439,1.0,False
2020-04-01,Carfentanil,,0,0,0.722260794870405,0.160456643200264,0.25442326670425264,1.0,False
2020-07-01,Mitragynine,19.0,6,4,1.2457930689060495,0.6374858354381845,1.1424477678068545,1.0,False
2020-07-01,Carfentanil,,0,0,0.7147433915445942,0.18139010165254169,0.32507180161433014,1.0,False
2020-10-01,Mitragynine,35.0,4,5,0.7718875550453959,0.3582343323327087,0.6807511881290085,1.0,False
2020-10-01,Carfentanil,,0,0,0.6768600001944468,0.1831507160179986,0.34804056944622375,1.0,False
2021-01-01,para-Fluorofentanyl,4.0,8,0,2.6846217185298715,1.4954929665274763,2.7989149580208466,10000.0,False
2021-01-01,Mitragynine,40.0,4,5,0.7637843877264993,0.3608775034548354,0.6754064351815589,1.0,False
2021-01-01,Carfentanil,,0,0,0.6590877808654894,0.19453939103011375,0.36409363184251164,1.0,False
2021-04-01,para-Fluorofentanyl,1.0,27,0,4.901814036843104,3.516111417975797,6.362956022885703,10000.0,True
2021-04-01,Bromazolam,46.0,1,0,0.8975919137408176,0.40211250170680296,0.727685780453023,1.0,False
2021-04-01,Mitragynine,79.0,3,7,0.6100356680031024,0.30655658882959486,0.5547623283166122,1.0,False
2021-04-01,Carfentanil,,0,0,0.7438645825832872,0.30666373552230863,0.5549562415637591,1.0,False
2021-07-01,para-Fluorofentanyl,1.0,45,0,5.504926074807307,4.2448854734481145,6.756741018340546,10000.0,True
2021-07-01,Bromazolam,48.0,1,0,0.8241766427744384,0.41150462442713914,0.6550065823484041,1.0,False
2021-07-01,Mitragynine,36.0,5,7,0.7844769441002204,0.44857982725573475,0.7140205720542572,1.0,False
2021-07-01,Carfentanil,,0,0,0.7179059343573593,0.3402632162412515,0.541609007395902,1.0,False
2021-10-01,para-Fluorofentanyl,1.0,60,0,8.188884500157908,6.50377577777118,9.838109977155773,10000.0,True
2021-10-01,Bromazolam,47.0,1,0,0.8771522095065931,0.42207766767841787,0.6384667822741407,1.0,False
2021-10-01,Mitragynine,34.0,5,6,0.8784388506551876,0.492383099083672,0.7448161377194368,1.0,False
2021-10-01,Carfentanil,,0,0,0.7533894908462803,0.3411822037046857,0.516098106100367,1.0,False
2022-01-01,para-Fluorofentanyl,1.0,69,8,10.856296552175777,8.676938047357218,12.40585109346448,10000.0,True
2022-01-01,Bromazolam,49.0,1,0,1.1948025924418992,0.3253051506655186,0.46510516490320536,1.0,False
2022-01-01,Mitragynine,48.0,4,7,0.7666450096225176,0.3277228821314864,0.46856183477306673,1.0,False
2022-01-01,Carfentanil,,0,0,0.7001885031578928,0.1264556062020208,0.1808000284260279,1.0,False
2022-04-01,para-Fluorofentanyl,1.0,104,27,4.961808222632722,4.135659210066755,5.490276894621918,10000.0,True
2022-04-01,Bromazolam,,0,1,0.6155910292385263,0.17689072457273647,0.23483048353372166,1.0,False
2022-04-01,Mitragynine,20.0,7,8,1.0804224483366405,0.5754977284551758,0.7639995499838476,1.0,False
2022-04-01,Carfentanil,,0,0,0.7304665735080724,0.2099003320822277,0.2786522439022146,1.0,False
2022-07-01,para-Fluorofentanyl,1.0,116,45,3.5959333321952447,3.023849346388776,3.9486285462076105,10000.0,True
2022-07-01,Bromazolam,,0,1,0.6510892997232708,0.19501494683548545,0.2546559525200011,1.0,False
2022-07-01,Mitragynine,22.0,9,11,1.0878441905908987,0.6161395899737943,0.8045725798048624,1.0536297545042672,False
2022-07-01,Carfentanil,,0,0,0.7675481767865123,0.22989683128460978,0.3002057075784347,1.0,False
2022-10-01,para-Fluorofentanyl,1.0,133,60,3.4635229457285437,2.943049645160158,3.5407260686274125,10000.0,True
2022-10-01,Bromazolam,,0,1,0.6242211816066789,0.15875228417836043,0.19099174948734468,1.0,False
2022-10-01,Mitragynine,4.0,17,9,2.741192546828849,1.7602173173026388,2.117683230165388,48.30917874396136,True
2022-10-01,Carfentanil,,0,0,0.7520701715125742,0.1912669116461699,0.230109450661964,1.0,False
2023-01-01,para-Fluorofentanyl,1.0,152,77,3.225914142472692,2.7672375351658864,3.2522502721239652,10000.0,True
2023-01-01,Bromazolam,,0,1,0.5277327939116964,0.10098735934748118,0.11868729439804876,1.0,False
2023-01-01,Mitragynine,3.0,21,8,3.8391380811330205,2.548525444981566,2.995204564194557,46.08294930875576,True
2023-01-01,Carfentanil,,0,0,0.6605010173935725,0.12639399022085912,0.14854691722133248,1.0,False
2023-04-01,para-Fluorofentanyl,4.0,102,131,1.7863211700624189,1.4817877116144123,1.629829633435733,10000.0,False
2023-04-01,Bromazolam,,0,1,0.5880624950813071,0.1691365546903209,0.1860346974893193,1.0,False
2023-04-01,Mitragynine,3.0,17,10,2.4137879068952945,1.5534032157095912,1.7085998640208828,10.834236186348864,True
2023-04-01,Carfentanil,,0,0,0.6684592394195116,0.19225999558209614,0.21146834922532576,1.0,False
2023-07-01,para-Fluorofentanyl,5.0,87,161,1.3429401579453175,1.0970659282877073,1.1360499612173622,10000.0,False
2023-07-01,Bromazolam,18.0,4,2,1.2978724360604978,0.6198973001465181,0.6419251533712792,9.293680297397769,False
2023-07-01,Mitragynine,3.0,16,14,1.921389643891119,1.2297188002801314,1.2734166494571324,10.1010101010101,False
2023-07-01,Carfentanil,,0,0,0.7264054324624674,0.23858293280748702,0.24706077435866552,1.0,False
2023-07-01,Xylazine,49.0,1,0,0.9414681942991311,0.35617908311525415,0.3688356962734084,1.0,False
2023-10-01,para-Fluorofentanyl,10.0,73,193,0.9596119775226255,0.7736267833388323,0.7860803574610046,1.0,False
2023-10-01,Bromazolam,7.0,7,2,1.4749865972043945,0.8739466285560898,0.8880151441984993,90.09009009009009,False
2023-10-01,Mitragynine,25.0,12,22,0.9723529349780173,0.6212104386908636,0.6312104753351477,1.2658227848101264,False
2023-10-01,Carfentanil,,0,0,0.8428811316476554,0.40110090666539183,0.40755770158688004,1.0,False
2023-10-01,Xylazine,34.0,2,0,1.0726436223504838,0.5573920207815505,0.5663647417385005,4.531037607612143,False
2024-01-01,para-Fluorofentanyl,71.0,59,221,0.5795632864461593,0.4560340593110763,0.43880749360016924,1.0,False
2024-01-01,Bromazolam,2.0,13,2,2.497118864837314,1.598468932946172,1.5380874977267427,10000.0,True
2024-01-01,Mitragynine,15.0,17,25,1.2482477232169822,0.8323417258085642,0.8009002719041379,1.2362467548522686,False
2024-01-01,Carfentanil,14.0,4,0,1.5408313185540836,0.8340736519089382,0.8025668444011465,36.36363636363637,False
2024-01-01,Xylazine,34.0,2,0,1.2510167326458468,0.6310297723253899,0.6071928319430153,1.6611295681063123,False
2024-04-01,para-Fluorofentanyl,38.0,77,206,0.8533222377467041,0.6911596990171075,0.6624754645383893,1.0,False
2024-04-01,Bromazolam,1.0,20,1,3.5657518683041594,2.456898239062387,2.354932148668811,10000.0,True
