substance,as_of,n_recent,n_baseline,expected,ebgm,eb05,eb05_own,credible_rise,z_spatial,treescan_ri
Alprazolam,2014-10-01,17,11,4.69426345712014,2.1172104672589875,1.5146076618759419,1.6771060206482742,False,1.732306100492273,1.3477088948787062
Fentanyl,2014-10-01,20,21,11.459380453299254,1.5351251914403665,1.1178645897859685,1.2377974370218285,False,0.0721308931781637,1.0004001600640255
Cocaine,2014-10-01,113,210,87.19888664219943,1.2906651942045242,1.1063700727976284,1.2250696991120618,False,6.488296448482815,1.0
Trazodone,2014-10-01,5,1,0.5536437246963563,1.7390726763426305,1.1036861447422357,1.2220978190599614,False,0.0,1.001001001001001
Amphetamine,2014-10-01,5,1,0.5536437246963563,1.7390726763426305,1.1036861447422357,1.2220978190599614,False,0.0,1.0297600659046442
Clonazepam,2014-10-01,4,0,0.0,1.7344499144366468,1.0825006009905622,1.1986393343596284,False,0.0,2.6560424966799467
PCP,2014-10-01,7,4,2.214574898785425,1.652001814002251,1.0790362020369124,1.1948032522162484,False,0.0,1.4450867052023122
Diphenhydramine,2014-10-01,7,4,2.214574898785425,1.652001814002251,1.0790362020369124,1.1948032522162484,False,0.0,1.0246951531919255
Methamphetamine,2014-10-01,269,411,227.54757085020242,1.1839179994399518,1.069382181369252,1.184113469723511,False,0.0,1.3598041881968996
Insulin,2014-10-01,3,0,0.0,1.6093831093668305,0.9858604708066715,1.0916309456741309,False,0.0,1.0
Amlodipine,2014-10-01,3,0,0.0,1.6093831093668305,0.9858604708066715,1.0916309456741309,False,0.0,1.0
Tramadol,2014-10-01,9,9,4.982793522267206,1.4536901768204646,0.9725542418146799,1.076897125243963,False,0.0,1.0047221943132725
Carisoprodol,2014-10-01,6,5,2.7682186234817814,1.474110473211504,0.9497474348191198,1.0516434378913573,False,0.0,1.0
Oxycodone,2014-10-01,27,49,22.065028921076212,1.2263533153681938,0.9225263989971537,1.0215019175622417,False,1.1421197265353848,1.0
Citalopram,2014-10-01,8,9,4.982793522267206,1.3766380998151562,0.9104927696374521,1.0081772417964332,False,0.0,1.0
Metformin,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Metaxalone,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Duloxetine,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Nortriptyline,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Desloratadine,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Estazolam,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Buprenorphine,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Caffeine,2014-10-01,2,0,0.0,1.4843216563674726,0.8903215899927726,0.9858419561586769,False,0.0,1.0
Morphine,2014-10-01,143,260,143.94736842105263,1.0060590249612007,0.8764516166565726,0.9704838792599929,False,-1.027900967399641,1.0
Acetaminophen,2014-10-01,3,2,1.1072874493927125,1.4135745298903306,0.8659139290372392,0.9588156611228551,False,0.0,1.0005002501250624
Methadone,2014-10-01,40,88,37.34477353008601,1.0997789529010806,0.8617615331431604,0.9542177421223327,False,1.8382023411258137,1.0
Hydrocodone,2014-10-01,25,44,22.637415519203223,1.1381463363303048,0.8491258393160114,0.9402264018293338,False,0.3623426590810232,1.0
Quetiapine,2014-10-01,7,9,4.982793522267206,1.2995872537667161,0.8488499725812698,0.9399209519434628,False,0.0,1.1364927832708265
Codeine,2014-10-01,4,4,2.214574898785425,1.358179431896827,0.8476635958432213,0.9386072964676593,False,0.0,1.0
Temazepam,2014-10-01,2,1,0.5536437246963563,1.38817644042229,0.8326520402942256,0.9219851946630262,False,0.0,1.0088781275221954
Lamotrigine,2014-10-01,2,1,0.5536437246963563,1.38817644042229,0.8326520402942256,0.9219851946630262,False,0.0,1.0
Mirtazapine,2014-10-01,2,1,0.5536437246963563,1.38817644042229,0.8326520402942256,0.9219851946630262,False,0.0,1.0
Phenobarbital,2014-10-01,2,1,0.5536437246963563,1.38817644042229,0.8326520402942256,0.9219851946630262,False,0.0,1.0
Pentobarbital,2014-10-01,6,8,4.42914979757085,1.2770222208308835,0.8227664075941539,0.9110389510826734,False,0.0,1.0006003602161295
MDMA,2014-10-01,3,3,1.6609311740890687,1.3325131863733948,0.816258148621308,0.9038324437286455,False,0.0,1.0
Fluoxetine,2014-10-01,4,5,2.7682186234817814,1.2883082356389985,0.804055757236019,0.8903208878284216,False,0.0,1.001903616872057
Levetiracetam,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Atorvastatin,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Carbamazepine,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Depakote,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
25C-NBOMe,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Propoxyphene,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Venlafaxine,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Tapentadol,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Promethazine,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Olanzapine,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Metoprolol,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Dothiepin,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Cyclobenzaprine,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
GHB,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Fluvoxamine,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Isopropanol,2014-10-01,1,0,0.0,1.3592670263483377,0.796022344601731,0.8814255988752396,False,0.0,1.0
Heroin,2014-10-01,181,375,207.6163967611336,0.8852165352369945,0.7825706314942635,0.8665306420954089,False,0.0,1.0
Amitriptyline,2014-10-01,2,2,1.1072874493927125,1.303728910409137,0.7819989632675984,0.8658976833724716,False,0.0,1.0
Zolpidem,2014-10-01,2,2,1.1072874493927125,1.303728910409137,0.7819989632675984,0.8658976833724716,False,0.0,1.0
Ethanol,2014-10-01,217,459,254.1224696356275,0.8655001525502731,0.7730740272547273,0.8560151708617465,False,0.0,1.0
Gabapentin,2014-10-01,1,1,0.5536437246963563,1.271222079207128,0.7444609192929995,0.8243322849906783,False,0.0,1.0
Topiramate,2014-10-01,1,1,0.5536437246963563,1.271222079207128,0.7444609192929995,0.8243322849906783,False,0.0,1.0
Meperidine,2014-10-01,1,1,0.5536437246963563,1.271222079207128,0.7444609192929995,0.8243322849906783,False,0.0,1.0
Lorazepam,2014-10-01,1,1,0.5536437246963563,1.271222079207128,0.7444609192929995,0.8243322849906783,False,0.0,1.0
Bupropion,2014-10-01,2,3,1.6609311740890687,1.2289666571108728,0.7371552813456834,0.8162428409492097,False,0.0,1.0
Meprobamate,2014-10-01,1,2,1.1072874493927125,1.1938892837776292,0.6991728103790563,0.774185334031795,False,0.0,1.0
Diazepam,2014-10-01,2,4,2.214574898785425,1.1623138421106407,0.6971757796157635,0.7719740431418718,False,0.0,1.0
Hydromorphone,2014-10-01,3,7,3.8755060728744937,1.083890624517718,0.6639593240234598,0.735193876817438,False,0.0,1.0
Ketamine,2014-10-01,1,3,1.6609311740890687,1.1254257770384442,0.6590787890441959,0.7297897299021867,False,0.0,1.0
Oxymorphone,2014-10-01,1,3,1.6609311740890687,1.1254257770384442,0.6590787890441959,0.7297897299021867,False,0.0,1.0
Sertraline,2014-10-01,1,4,2.214574898785425,1.064388485522513,0.6233337536988011,0.6902097025204557,False,0.0,1.102779003087781
Cocaine,2015-01-01,128,206,86.41008028676089,1.4579031920613805,1.2589441286148304,1.4082260345389854,False,5.478519022647042,1.000100010001
Alprazolam,2015-01-01,16,15,6.599224702759255,1.7833136898166164,1.2483341583637897,1.396357884895476,False,1.452058050246507,1.214181641573579
PCP,2015-01-01,7,3,1.6778656126482212,1.757046872588134,1.1142848188707037,1.2464133627903076,False,0.0,1.0479983232026828
Amphetamine,2015-01-01,6,2,1.1185770750988142,1.754887842503777,1.094458128162109,1.2242356813667832,False,0.0,1.1164452383610584
Methamphetamine,2015-01-01,293,446,249.44268774703556,1.1742352740690087,1.064474952429253,1.1906972807466054,False,0.0,1.1363636363636365
Diphenhydramine,2015-01-01,7,4,2.2371541501976284,1.6482272699036549,1.045273551636696,1.1692189848927566,False,0.0,1.006947940791461
Oxycodone,2015-01-01,29,46,19.85730611443378,1.3839241131654263,1.0404702330854443,1.1638461527559023,False,1.7095181412036389,1.0
Fluoxetine,2015-01-01,6,3,1.6778656126482212,1.6390262733718406,1.022199586615007,1.1434089816260486,False,0.0,1.088020890001088
Hydrocodone,2015-01-01,28,45,21.19633201755676,1.2819910055510406,0.9599381921067384,1.0737648716474,False,0.8987664549533397,1.0002000400080016
Amlodipine,2015-01-01,3,0,0.0,1.60236906681924,0.9377143024609528,1.048905705718194,False,0.0,1.0
Fentanyl,2015-01-01,17,24,12.505216160195923,1.2893748564828735,0.9093303358275822,1.0171560954531822,False,0.3497518239863125,1.0
Citalopram,2015-01-01,7,7,3.9150197628458496,1.3899710458226004,0.8814924969807652,0.9860173351332783,False,0.0,1.0
Tramadol,2015-01-01,10,12,6.711462450592885,1.3242544096416078,0.8752286288051515,0.9790107189906982,False,0.0,1.0
Morphine,2015-01-01,148,266,148.77075098814228,1.0020405443659641,0.8738721245910871,0.9774933336795735,False,-0.4465391386920119,1.0
