rollup,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01,2017-10-01,2018-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01,2024-10-01,2025-01-01,2025-04-01,2025-07-01,2025-10-01
PCP,1,0,2,0,0,0,0,1,0,3,1,3,0,1,0,1,1,2,1,4,4,2,4,1,3,4,5,5,3,5,1,8,7,12,33,14,27,20,23,36,20,34,24,27,32,26,29,33,31,24,19,37,33,37,36,31
Cocaine,17,13,17,23,16,28,18,10,15,19,23,26,25,27,34,24,28,25,32,44,26,30,34,40,41,46,49,52,54,59,68,68,101,114,118,78,105,96,146,134,127,140,151,124,152,106,153,147,117,115,105,114,111,126,123,95
Alprazolam,1,2,2,1,2,1,1,1,5,3,4,4,4,6,4,5,3,11,8,11,11,9,9,11,6,9,6,11,12,9,22,20,28,23,33,25,34,38,37,34,40,40,27,29,31,19,14,22,32,31,30,31,43,22,22,23
MDMA,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,4,1,2,2,1,0,2,1,1,3,5,5,0,3,3,3,6,11,2,5,8,7,7,4,9,3,4,3,4,5,8,5,5,6,0,0,6,4,2,7
Carfentanil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,5,3,1,1
Methamphetamine,20,22,31,40,25,39,38,38,41,47,45,43,54,53,90,62,76,74,93,86,78,79,122,95,87,118,168,140,130,150,167,169,219,267,397,324,334,381,404,431,386,442,510,406,444,439,463,388,432,390,376,396,367,341,331,306
Heroin,34,36,32,31,38,41,42,41,31,34,38,41,35,52,41,31,41,37,41,53,63,46,51,41,41,56,66,52,58,67,76,61,74,80,94,81,72,65,61,44,69,47,50,33,52,36,31,23,34,33,26,22,33,23,29,20
Ethanol,34,25,33,38,35,47,36,45,45,37,26,36,40,27,47,36,48,49,22,35,36,49,49,38,45,45,39,52,53,52,60,55,69,83,112,105,97,96,91,114,102,102,96,91,95,88,110,100,94,79,89,86,81,76,80,81
Oxycodone,6,4,3,2,5,6,5,0,5,7,6,3,7,11,7,11,8,11,11,6,6,11,7,10,14,7,4,9,7,3,9,8,19,10,17,11,9,9,7,6,9,15,11,9,8,5,6,11,7,4,15,12,9,9,9,7
Amphetamine,0,0,0,0,1,0,0,0,1,1,1,1,2,2,0,0,2,2,2,1,2,2,4,5,5,4,5,0,3,3,4,3,2,2,4,2,8,7,3,3,7,6,3,7,2,10,3,5,3,12,8,11,4,4,9,8
"1,1-Difluoroethane",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,2,1,0,0,1,0,2,0,1,2,1,1,4,3,1,0
Ketamine,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,1,1,1,2,2,1,2,2,7,5,6,1,3,4,9,5,4,8,4,6,4,5
Morphine,19,26,30,27,32,34,30,24,24,30,28,31,24,44,33,23,34,28,34,32,32,21,24,22,28,25,31,35,18,30,14,19,15,17,20,9,13,14,18,9,13,6,8,7,2,7,6,8,9,6,20,2,11,12,6,0
Lorazepam,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,0,2,2,0,2,0,3,2,0,2,1,0,0,1,2,3,2,3,3,4,2,3,5,6,5,4,5,0,4,1,2,3,1,8,3,1,7,2,2,1
Trazodone,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,2,0,1,0,1,2,0,2,2,2,0,4,1,1,1,5,1,2,5,2,1,3,1,3,2,5,2,2,1,2,3,3,1,2,5,5,4,1,1,5
Chlordiazepoxide,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,3,1,0,0,1,1,0,1,0,0,4,0,0,0,0,1,2,0,2,0,3,1,1,1
Fentanyl,1,0,1,3,4,0,3,2,3,4,4,2,1,3,3,5,3,12,22,19,24,24,29,34,39,52,60,69,65,100,130,129,195,260,339,322,346,432,435,421,437,485,521,453,509,479,494,438,445,388,273,334,311,293,272,225
Mitragynine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,2,1,0,1,1,3,0,0,4,5,8,4,0,4,4,9,6,3,6,5,5,7,1
Nitrous oxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2
Diazepam,0,0,0,0,1,1,1,0,0,0,0,2,1,0,3,0,2,3,0,3,3,4,0,2,1,5,1,2,1,2,5,8,4,4,7,4,5,7,3,11,6,4,9,2,5,5,9,3,2,4,5,5,6,4,4,2
Hydrocodone,5,3,4,5,4,5,3,3,7,2,4,7,8,7,10,10,3,5,7,6,2,6,10,12,10,8,8,5,11,2,6,12,8,8,9,10,8,10,5,12,11,7,15,9,10,5,11,6,13,6,18,8,9,8,7,6
Codeine,1,0,1,0,1,0,0,0,1,0,1,1,1,4,2,0,2,2,2,4,2,1,2,4,3,3,3,4,1,1,2,3,2,2,2,1,3,3,3,4,4,4,3,1,1,3,1,6,7,4,8,5,5,4,4,3
Bupropion,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,2,1,1,2,0,2,1,1,2,0,0,2,2,2,1,0,0,3,2,1,0,2,1,1,2,3,1,2,0,3,2,2,0
Quetiapine,0,0,1,2,1,0,1,1,1,0,3,3,1,1,2,0,1,3,2,4,3,1,4,6,1,2,4,3,3,1,5,6,2,2,5,2,2,4,3,8,4,8,2,0,1,5,0,7,7,3,1,5,4,3,0,3
Acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,7,1,0,0,3,0,3,2,10,15,12,5,9,29,16,7,8,6,3,2,17,5,2,4
Methadone,7,4,7,13,5,10,3,6,10,4,5,8,8,5,10,9,5,4,10,3,10,11,9,9,10,9,7,11,8,7,7,5,12,10,12,12,11,2,4,2,9,3,3,0,2,13,3,2,4,3,5,2,5,2,1,4
Buprenorphine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,3,1,1,0,0,0,0,1,0,2,1
Naloxone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Clomipramine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carisoprodol,1,0,1,0,0,1,1,0,1,3,0,1,0,0,2,1,1,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Rosuvastatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nicotine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Olanzapine,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,2,2,0,2,1,2,4,1,1,0,2,6,2,5,4,1,0,6,2,3,1,0,0,2,1,3,0,2,1,0,1,2,1
MDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
