rollup,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
PCP,3,1,7,2,8,11,17,17,66,106,105,120,111,137
Cocaine,70,72,83,110,129,130,188,249,411,481,542,558,451,455
Alprazolam,6,5,16,19,33,40,32,63,109,143,136,86,124,110
MDMA,1,1,2,2,9,4,14,9,24,26,19,22,11,19
Carfentanil,0,0,0,0,0,1,0,0,0,0,0,0,12,10
Methamphetamine,113,140,176,259,329,374,513,616,1207,1550,1744,1734,1594,1345
Heroin,133,162,144,159,172,201,215,262,329,242,199,142,115,105
Ethanol,130,163,144,150,154,172,181,220,369,398,391,393,348,318
Oxycodone,15,16,21,36,36,34,34,27,57,31,44,30,38,34
Amphetamine,0,1,4,4,7,13,14,13,10,21,23,20,34,25
"1,1-Difluoroethane",0,1,0,0,2,1,1,0,2,2,3,3,5,8
Ketamine,0,2,1,0,0,1,1,4,2,6,16,14,26,19
Morphine,102,120,113,124,128,99,119,81,61,54,34,23,37,29
Lorazepam,0,1,1,5,4,7,3,6,12,16,14,10,13,12
Trazodone,1,0,3,3,3,5,8,8,10,8,11,9,13,11
Chlordiazepoxide,1,0,1,1,0,1,0,4,4,3,4,1,4,6
Fentanyl,5,9,13,12,56,111,220,424,1116,1634,1896,1920,1440,1101
Mitragynine,0,0,0,0,0,1,3,2,4,5,17,12,24,18
Nitrous oxide,0,0,0,0,0,0,2,0,2,1,0,1,0,4
Diazepam,0,3,2,4,8,9,9,16,19,26,21,22,16,16
Hydrocodone,17,15,20,35,21,30,31,31,35,35,42,32,45,30
Codeine,2,1,3,7,10,9,13,7,7,13,12,11,24,16
Bupropion,2,1,2,0,2,4,4,6,4,3,6,6,6,7
Quetiapine,3,3,7,4,10,14,10,15,11,17,14,13,16,10
Acetyl fentanyl,0,0,0,1,1,3,0,2,8,8,42,61,19,28
Methadone,31,24,27,32,22,39,37,27,46,19,15,20,14,12
Buprenorphine,0,0,1,0,1,1,1,0,0,5,2,5,0,4
Naloxone,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Clomipramine,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carisoprodol,2,2,5,3,2,0,4,1,1,0,3,0,0,2
Rosuvastatin,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nicotine,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Olanzapine,0,0,1,2,2,3,5,8,10,10,12,3,6,4
MDMB-4en-PINACA,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Clonazepam,0,0,4,6,5,2,2,10,21,21,22,9,24,11
Venlafaxine,0,0,2,1,2,2,2,2,2,4,1,3,3,2
Gabapentin,0,1,1,2,5,9,5,5,10,9,8,3,3,3
Fluoxetine,3,0,4,4,5,4,8,7,6,4,6,3,8,5
Nortriptyline,0,0,1,2,1,1,1,0,1,0,0,2,0,2
Acetaminophen,2,0,3,2,0,1,1,1,2,2,3,0,3,2
Zolpidem,1,1,2,3,5,3,6,5,5,2,2,1,2,2
Ziprasidone,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Lacosamide,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Butalbital,0,0,0,1,1,0,0,0,1,1,0,0,0,1
Desloratadine,0,0,1,0,0,1,0,0,1,1,0,0,0,1
Aripiprazole,0,0,0,0,1,0,0,0,2,1,0,0,0,1
Atenolol,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Prochlorperazine,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amitriptyline,0,2,2,2,0,3,4,2,9,1,1,0,0,1
Lidocaine,0,0,0,0,0,0,0,0,0,1,2,6,16,17
Dextromethorphan,0,0,0,0,0,2,1,2,2,4,1,1,3,2
Clozapine,0,1,0,0,0,1,1,5,2,0,1,1,2,1
Amlodipine,0,0,2,1,0,0,0,1,0,4,4,1,2,2
Promethazine,0,0,1,2,0,1,0,1,4,1,1,0,2,1
MDA,0,0,0,0,1,1,0,0,2,2,0,2,0,1
Loperamide,0,1,0,0,0,0,1,0,0,1,0,1,1,1
Lamotrigine,0,1,2,1,1,5,0,0,5,4,2,2,0,1
Salicylate,0,0,0,1,0,0,0,0,1,0,1,0,2,1
GHB,0,0,1,0,1,1,3,3,2,4,2,2,0,1
Citalopram,4,4,6,1,1,9,6,7,16,13,8,3,14,5
Chlorcyclizine,1,0,0,1,0,1,1,1,0,3,1,1,3,1
Mirtazapine,1,0,2,3,4,6,3,1,1,4,2,6,4,3
Bromazolam,0,0,0,0,0,0,0,0,0,1,1,7,19,7
Cannabis,2,0,0,0,2,1,4,2,1,2,0,2,0,1
Tramadol,2,5,6,5,6,8,10,9,9,12,22,16,19,10
2-Methyl AP-237,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25B-NBOH,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eszopiclone,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Anabasine,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amyl nitrite,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chlorpromazine,0,0,0,1,0,1,0,1,0,0,1,0,0,0
Cerberin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carbidopa,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deoxymethoxetamine,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Depakote,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clindamycin,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Carvedilol,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chloroform,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25C-NBOMe,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5F-MDMB-PICA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4-ANPP,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Acryl fentanyl,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Amantadine,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha-PVP,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Warfarin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vilazodone,0,0,0,0,0,1,0,0,0,1,0,1,0,0
U-47700,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Valproate,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Verapamil,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Terazosin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tamsulosin,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rocuronium,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thiothixene,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tianeptine,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Risperidone,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Sumatriptan,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oxcarbazepine,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nifedipine,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Neriifolin,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oleandrin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Propofol,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Perphenazine,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Phenylpropanolamine,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Delorazepam,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Clonazolam,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Diclazepam,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Digoxin,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cyclopropyl fentanyl,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Escitalopram,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Disulfiram,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dothiepin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Diltiazem,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Dimethyltryptamine,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Donepezil,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Desvenlafaxine,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Caffeine,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Brompheniramine,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Atorvastatin,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Carbamazepine,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Butyl Nitrite,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Levetiracetam,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Memantine,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Meperidine,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Metaxalone,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Metformin,0,0,1,2,0,0,0,0,0,1,0,0,0,0
Lurasidone,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanfacine,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Insulin,0,0,2,0,2,0,0,0,0,1,0,0,0,0
Isopropanol,0,0,1,2,0,0,0,1,1,1,0,0,0,0
Lithium,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Pseudoephedrine,0,0,0,0,2,0,1,1,1,0,2,0,0,0
Meprobamate,2,0,1,4,1,0,0,0,0,0,1,0,0,0
Meloxicam,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Loratadine,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MMC,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Levodopa,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Isosorbide Mononitrate,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LSD,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fluoride,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Flurazepam,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Ibuprofen,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Hydrochlorothiazide,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Helium,1,0,0,0,0,0,0,0,0,0,0,0,0,0
