substance,n_window,d_flat,d_trend,absorbed,p_trend,interval_scale,verdict
para-Fluorofentanyl,181,10.274860379182028,10.554978911170693,-0.28011853198866454,4.1993732305008265e-18,3.248842703359258,clustered
Acetyl fentanyl,108,6.2613065572404105,5.33439879453776,0.9269077627026503,6.427021080471695e-08,2.3096317443561776,clustered
Morphine,89,4.293282306578971,4.262001332030079,0.031280974548892004,5.814304967362506e-06,2.0644615113946974,clustered
Lidocaine,39,4.210804199537261,3.229751868960323,0.9810523305769379,0.0003571847634231998,1.7971510423334827,clustered
Methadone,46,2.475325653227053,2.398822199774952,0.07650345345210097,0.0076317144726936684,1.5488131584458313,clustered
Fentanyl,4461,7.684551301596532,2.1850902760325317,5.499461025564,0.015882437477145763,1.4782050859175568,clustered
Amphetamine,79,2.250119270552901,2.092908863288133,0.1572104072647682,0.02159349796193815,1.4466889310726523,clustered
Alprazolam,320,2.7048088067977893,2.052125497716444,0.6526833090813455,0.024690604212345844,1.4325241700287097,clustered
Bromazolam,33,1.8359729139390415,2.0382174074118735,-0.20224449347283202,0.02583828438073758,1.4276615171012608,clustered
Cocaine,1464,2.066243583160854,2.01326722459818,0.05297635856267391,0.02802251194916022,1.4188964812833176,clustered
Lorazepam,35,1.8873846109314527,2.0100192092692053,-0.12263459833775259,0.02831915520436679,1.4177514624465055,clustered
Clonazepam,44,1.8898504687050839,1.995456345461458,-0.10560587675637412,0.029685382237987782,1.4126062244877227,clustered
Quetiapine,39,1.7469629063709855,1.9376315916193925,-0.19066868524840697,0.03573517801857325,1.3919883590100144,clustered
MDMA,52,1.539414022353705,1.6697634167943813,-0.1303493944406764,0.0813280921382121,1.2921932582993851,ok
Hydrocodone,107,1.4784988980451472,1.5608962827207584,-0.0823973846756112,0.11138685900398702,1.2493583484015938,ok
Mitragynine,54,1.379101486257649,1.294642839282424,0.08445864697522487,0.22668251218210186,1.1378237294424933,ok
Heroin,362,1.312533492758522,1.285711636726687,0.026821856031834956,0.23177070646633857,1.1338922509333447,ok
Oxycodone,102,1.4666053072875727,1.1729463367635866,0.29365897052398604,0.30357050143850733,1.0830264709431559,ok
Diphenhydramine,36,1.0589707686318328,1.1671482156457358,-0.10817744701390297,0.3076444361852007,1.0803463405990394,ok
Codeine,51,1.1935152808650658,1.1598492658664772,0.03366601499858857,0.3128259530443021,1.0769629825887597,ok
Trazodone,33,1.2723645018906369,0.9348150780724481,0.33754942381818875,0.4994120694549078,0.9668583547099586,ok
Ketamine,59,0.9467014609973632,0.8762888171837522,0.07041264381361101,0.5547446061715303,0.9361029949656994,ok
PCP,368,2.0531454387821317,0.8631528492808378,1.189992589501294,0.5673928301561232,0.9290601968014978,ok
Tramadol,45,0.6827289630650536,0.7554480701353647,-0.07271910707031115,0.6722643833118844,0.8691651569957028,ok
Diazepam,54,0.6106108733214265,0.6687255685713505,-0.058114695249923964,0.7546031271811496,0.8177564237420275,ok
Ethanol,1059,0.8387024633041144,0.6639360439058394,0.17476641939827497,0.758996200787426,0.8148227070386781,ok
Methamphetamine,4673,0.5678666258919417,0.512871098949321,0.054995526942620665,0.8824157061443538,0.7161501930107406,smooth
