substance,n_recent,n_baseline,expected,share_recent_pct,share_baseline_pct,count_ratio,ebgm,eb05,eb95,expected_own,ebgm_own,eb05_own,eb95_own,z_spatial,concentration,credible_rise,n_total,first_seen,last_seen,date_added,date_added_censored,category,d_trend,interval_scale,poisson,treescan_ri,treescan_veto
PCP,137,232,68.22473137861955,6.363214119832792,4.2250956109998175,1.1810344827586208,1.8907083242252358,1.6054413036671766,2.214610346331145,87.0,1.482678918715598,1.2589747175707713,1.7366803904201638,12.002285727639055,1.0,False,712,2012-01-01,2025-10-01,1998-10-01,True,Depressants and Tranquilizers,0.8993448709087823,0.9483379518445849,ok,185.18518518518516,False
Cocaine,565,1216,357.5916955017301,26.24245239201115,22.14532871972318,0.9292763157894737,1.5653523340802729,1.442648747969704,1.6961565806544885,456.0,1.227537267599555,1.131314058726181,1.3301129521203023,11.27812156753854,1.0,False,4820,2012-01-01,2025-10-01,1998-10-01,True,Cocaine Alkaloids,2.486122337436269,1.5767442206763496,clustered,1.8221574344023326,False
Alprazolam,111,211,62.236094016044426,5.155596841616349,3.8426516117282827,1.052132701421801,1.6832065019951847,1.4047712768685607,2.003541869292551,79.3633052118207,1.3199575871408449,1.1016108275115162,1.5711621153837452,2.6107167800748003,0.990964731305376,False,937,2012-01-01,2025-10-01,1998-10-01,True,Benzodiazepines,2.045320235102144,1.4301469278022254,clustered,4.035512510088782,False
MDMA,22,38,11.310389720337263,1.0218300046446818,0.6920415224913494,1.1578947368421053,1.5176302005727886,1.0526515990169152,2.131890218132322,14.422979552803508,1.1901138956752044,0.825481272176349,1.671811847387074,2.092243400196601,0.9635832520413667,False,190,2012-01-01,2025-10-01,1998-10-01,True,Phenethylamines (Other) (H),1.774873140002596,1.332243648888069,ok,1.000300090027008,False
Carfentanil,12,13,3.836990821143184,0.557361820715281,0.23675104716809325,1.8461538461538463,1.626536976891041,1.036178864895085,2.4562605244489437,4.892920715024902,1.275517713061803,0.8125634652173317,1.9261804677173857,2.541806134020216,0.9889718676769839,False,27,2017-04-01,2025-10-01,1998-10-01,True,Fentanyl and Fentanyl-related,,,too_few,16.129032258064516,False
Methamphetamine,1851,4361,1709.931342196321,85.9730608453321,79.42087051538881,0.8488878697546435,1.081835850214098,1.0340728656718667,1.1313247681273968,2180.5,0.8483673593613018,0.810911993979307,0.887176188427106,0.0,0.0,False,16004,2012-01-01,2025-10-01,1998-10-01,True,Phenethylamines (Amphetamines) (S),0.9402009368366677,0.969639591207304,ok,1.0,False
Heroin,115,280,92.93912317447793,5.341384115188109,5.09925332362047,0.8214285714285714,1.2131583518293196,1.0155342341150633,1.4400008046954103,118.51572813540601,0.9513494517586858,0.7963741391366451,1.129237557836216,0.8665955346628128,0.6138363389883996,False,3027,2012-01-01,2025-10-01,1998-10-01,True,Heroin,1.285286279303023,1.1337046702307543,ok,1.0,False
Ethanol,385,885,347.00509925332364,17.88202508128193,16.117282826443272,0.8700564971751412,1.1056406242149563,1.0016934294317899,1.2179290848033792,442.5,0.8670348795515396,0.7855202885104835,0.9550906270977919,-1.6384597293950605,0.0,False,4516,2012-01-01,2025-10-01,,False,Supplement,0.6981278600067652,0.8355404598263122,ok,1.001201441730076,False
Oxycodone,37,73,28.623019486432344,1.718532280538783,1.3294481879439082,1.0136986301369864,1.2138789256723947,0.9019147227414165,1.605582033174397,36.5,0.9519145128247021,0.7072745894915283,1.2590850691845354,-0.5401533219314599,0.0,False,543,2012-01-01,2025-10-01,1998-10-01,True,Narcotic Analgesics,1.4561225966286622,1.2066990497338854,ok,2.6624068157614484,False
Amphetamine,33,70,27.44673101438718,1.5327450069670228,1.2748133309051175,0.9428571428571428,1.142322617599721,0.8365078922677562,1.530469081540273,35.0,0.8958006084804313,0.6559830579511552,1.2001820723558811,-0.1930994424142596,0.0,False,235,2013-01-01,2025-10-01,1998-10-01,True,Phenethylamines (Amphetamines) (S),2.68420746343772,1.6383551090766983,clustered,1.001401962747847,False
"1,1-Difluoroethane",8,8,3.136769258787106,0.3715745471435207,0.145692952103442,2.0,1.3806813652196466,0.8323602171164846,2.1824803504297314,4.0,1.082719657554253,0.6527304684653431,1.7114841868718003,0.0,0.0,False,28,2013-01-01,2025-07-01,,False,Supplement,,,too_few,1.0002000400080016,False
