substance,n_cases,observed,expected,z,withheld,as_of,recent_quarters
Acetaminophen,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Alprazolam,6,2.0,1.807899971582836,0.0,n<min_cases,2012-10-01,4
Amantadine,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Arsenic,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Bupropion,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Cannabis,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Carbon monoxide,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Carisoprodol,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Chlorcyclizine,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Chlordiazepoxide,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Chloroform,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Citalopram,4,0.0,0.7231599886331345,0.0,n<min_cases,2012-10-01,4
Cocaine,70,494.0,291.07189542483655,9.105251269742139,,2012-10-01,4
Codeine,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Diphenhydramine,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Ethanol,130,952.0,1010.6160841148053,0.0,case_fraction>max,2012-10-01,4
Fentanyl,5,2.0,1.2052666477218907,0.0,n<min_cases,2012-10-01,4
Fluoxetine,3,0.0,0.36157999431656723,0.0,n<min_cases,2012-10-01,4
Helium,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Heroin,133,1118.0,1057.9830633702757,0.0,case_fraction>max,2012-10-01,4
Hydrocodone,17,20.0,16.391626409017714,0.6562391853187247,,2012-10-01,4
Hydromorphone,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Hydroxyzine,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Lurasidone,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
MDMA,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Meprobamate,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Methadone,31,58.0,56.044899119067914,0.19410453911881295,,2012-10-01,4
Methamphetamine,113,888.0,762.6927346784124,3.61200833247697,,2012-10-01,4
Mirtazapine,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Morphine,102,638.0,620.8328502415459,0.5426153229161383,,2012-10-01,4
Oleandrin,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Oxycodone,15,10.0,12.655299801079854,-0.548881260343836,,2012-10-01,4
Oxymorphone,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
PCP,3,0.0,0.36157999431656723,0.0,n<min_cases,2012-10-01,4
Pentobarbital,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Quetiapine,3,0.0,0.36157999431656723,0.0,n<min_cases,2012-10-01,4
Topiramate,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Tramadol,2,0.0,0.12052666477218905,0.0,n<min_cases,2012-10-01,4
Trazodone,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Verapamil,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
Zolpidem,1,0.0,0.0,0.0,n<min_cases,2012-10-01,4
"1,1-Difluoroethane",1,0.0,0.0,0.0,n<min_cases,2013-01-01,4
Acetaminophen,1,0.0,0.0,0.0,n<min_cases,2013-01-01,4
Alprazolam,7,8.0,2.6415746993905453,0.0,n<min_cases,2013-01-01,4
