quarter,n_total
2012-01-01,109
2012-04-01,100
2012-07-01,117
2012-10-01,134
2013-01-01,117
2013-04-01,149
2013-07-01,132
2013-10-01,130
2014-01-01,133
2014-04-01,130
2014-07-01,139
2014-10-01,145
2015-01-01,152
2015-04-01,163
2015-07-01,199
2015-10-01,168
2016-01-01,183
2016-04-01,183
2016-07-01,194
2016-10-01,213
2017-01-01,203
2017-04-01,210
2017-07-01,244
2017-10-01,211
2018-01-01,223
2018-04-01,254
2018-07-01,301
2018-10-01,288
2019-01-01,282
2019-04-01,311
2019-07-01,362
2019-10-01,346
2020-01-01,441
2020-04-01,527
2020-07-01,686
2020-10-01,595
2021-01-01,611
2021-04-01,694
2021-07-01,681
2021-10-01,699
2022-01-01,699
2022-04-01,750
2022-07-01,843
2022-10-01,676
2023-01-01,782
2023-04-01,677
2023-07-01,750
2023-10-01,663
2024-01-01,712
2024-04-01,658
2024-07-01,608
2024-10-01,641
2025-01-01,594
2025-04-01,557
2025-07-01,520
2025-10-01,482
